County,COVID Hospitalizations
ALACHUA,64
BAKER,1
BAY,14
BRADFORD,0
BREVARD,61
BROWARD,180
CALHOUN,0
CHARLOTTE,20
CITRUS,12
CLAY,34
COLLIER,29
COLUMBIA,19
DESOTO,2
DUVAL,123
ESCAMBIA,38
FLAGLER,7
FRANKLIN,1
GADSDEN,9
GULF,0
HARDEE,0
HENDRY,1
HERNANDO,24
HIGHLANDS,23
HILLSBOROUGH,166
HOLMES,0
INDIAN RIVER,9
JACKSON,11
LAKE,39
LEE,41
LEON,53
MADISON,0
MANATEE,32
MARION,19
MARTIN,11
MIAMI-DADE,277
MONROE,5
NASSAU,2
OKALOOSA,11
OKEECHOBEE,12
ORANGE,177
OSCEOLA,69
PALM BEACH,116
PASCO,48
PINELLAS,132
POLK,78
PUTNAM,1
SANTA ROSA,7
SARASOTA,38
SEMINOLE,23
ST. JOHNS,7
ST. LUCIE,41
SUMTER,25
SUWANNEE,0
TAYLOR,0
UNION,19
VOLUSIA,65
WALTON,7
WASHINGTON,3
All,"2,206"
