County,COVID Hospitalizations
ALACHUA,119
BAKER,33
BAY,79
BRADFORD,0
BREVARD,139
BROWARD,"1,223"
CALHOUN,1
CHARLOTTE,38
CITRUS,30
CLAY,82
COLLIER,185
COLUMBIA,25
DESOTO,5
DUVAL,478
ESCAMBIA,190
FLAGLER,19
FRANKLIN,0
GADSDEN,5
GULF,1
HARDEE,0
HENDRY,9
HERNANDO,94
HIGHLANDS,62
HILLSBOROUGH,551
HOLMES,2
INDIAN RIVER,26
JACKSON,29
LAKE,129
LEE,252
LEON,78
MADISON,1
MANATEE,104
MARION,103
MARTIN,48
MIAMI-DADE,"1,997"
MONROE,15
NASSAU,6
OKALOOSA,47
OKEECHOBEE,22
ORANGE,598
OSCEOLA,195
PALM BEACH,603
PASCO,129
PINELLAS,458
POLK,293
PUTNAM,12
SANTA ROSA,21
SARASOTA,158
SEMINOLE,184
ST. JOHNS,32
ST. LUCIE,136
SUMTER,26
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,152
WALTON,7
WASHINGTON,3
All,"9,234"
