County,Measure Names,Measure Values
ALACHUA,Bed Census,"1,433"
ALACHUA,Available,280
ALACHUA,Available Capacity,0.163455925
ALACHUA,Total Staffed Bed Capacity,"1,713"
BAKER,Bed Census,450
BAKER,Available,175
BAKER,Available Capacity,0.28
BAKER,Total Staffed Bed Capacity,625
BAY,Bed Census,425
BAY,Available,98
BAY,Available Capacity,0.187380497
BAY,Total Staffed Bed Capacity,523
BRADFORD,Bed Census,5
BRADFORD,Available,5
BRADFORD,Available Capacity,0.5
BRADFORD,Total Staffed Bed Capacity,10
BREVARD,Bed Census,"1,144"
BREVARD,Available,461
BREVARD,Available Capacity,0.287227414
BREVARD,Total Staffed Bed Capacity,"1,605"
BROWARD,Bed Census,"3,901"
BROWARD,Available,"1,226"
BROWARD,Available Capacity,0.239126195
BROWARD,Total Staffed Bed Capacity,"5,127"
CALHOUN,Bed Census,6
CALHOUN,Available,4
CALHOUN,Available Capacity,0.4
CALHOUN,Total Staffed Bed Capacity,10
CHARLOTTE,Bed Census,392
CHARLOTTE,Available,205
CHARLOTTE,Available Capacity,0.343383585
CHARLOTTE,Total Staffed Bed Capacity,597
CITRUS,Bed Census,201
CITRUS,Available,93
CITRUS,Available Capacity,0.316326531
CITRUS,Total Staffed Bed Capacity,294
CLAY,Bed Census,482
CLAY,Available,83
CLAY,Available Capacity,0.146902655
CLAY,Total Staffed Bed Capacity,565
COLLIER,Bed Census,600
COLLIER,Available,221
COLLIER,Available Capacity,0.269183922
COLLIER,Total Staffed Bed Capacity,821
COLUMBIA,Bed Census,98
COLUMBIA,Available,0
COLUMBIA,Available Capacity,0
COLUMBIA,Total Staffed Bed Capacity,98
DESOTO,Bed Census,17
DESOTO,Available,38
DESOTO,Available Capacity,0.690909091
DESOTO,Total Staffed Bed Capacity,55
DUVAL,Bed Census,"2,695"
DUVAL,Available,831
DUVAL,Available Capacity,0.235677822
DUVAL,Total Staffed Bed Capacity,"3,526"
ESCAMBIA,Bed Census,"1,014"
ESCAMBIA,Available,445
ESCAMBIA,Available Capacity,0.305003427
ESCAMBIA,Total Staffed Bed Capacity,"1,459"
FLAGLER,Bed Census,86
FLAGLER,Available,13
FLAGLER,Available Capacity,0.131313131
FLAGLER,Total Staffed Bed Capacity,99
FRANKLIN,Bed Census,2
FRANKLIN,Available,13
FRANKLIN,Available Capacity,0.866666667
FRANKLIN,Total Staffed Bed Capacity,15
GADSDEN,Bed Census,709
GADSDEN,Available,244
GADSDEN,Available Capacity,0.256033578
GADSDEN,Total Staffed Bed Capacity,953
GULF,Bed Census,4
GULF,Available,17
GULF,Available Capacity,0.809523810
GULF,Total Staffed Bed Capacity,21
HARDEE,Bed Census,22
HARDEE,Available,0
HARDEE,Available Capacity,0
HARDEE,Total Staffed Bed Capacity,22
HENDRY,Bed Census,10
HENDRY,Available,19
HENDRY,Available Capacity,0.655172414
HENDRY,Total Staffed Bed Capacity,29
HERNANDO,Bed Census,502
HERNANDO,Available,236
HERNANDO,Available Capacity,0.319783198
HERNANDO,Total Staffed Bed Capacity,738
HIGHLANDS,Bed Census,213
HIGHLANDS,Available,43
HIGHLANDS,Available Capacity,0.16796875
HIGHLANDS,Total Staffed Bed Capacity,256
HILLSBOROUGH,Bed Census,"3,150"
HILLSBOROUGH,Available,620
HILLSBOROUGH,Available Capacity,0.164456233
HILLSBOROUGH,Total Staffed Bed Capacity,"3,770"
HOLMES,Bed Census,18
HOLMES,Available,2
HOLMES,Available Capacity,0.1
HOLMES,Total Staffed Bed Capacity,20
INDIAN RIVER,Bed Census,287
INDIAN RIVER,Available,169
INDIAN RIVER,Available Capacity,0.370614035
INDIAN RIVER,Total Staffed Bed Capacity,456
JACKSON,Bed Census,32
JACKSON,Available,65
JACKSON,Available Capacity,0.670103093
