County,Measure Names,Measure Values
ALACHUA,Adult ICU Census,277
ALACHUA,Available Adult ICU,31
ALACHUA,Available Adult ICU%,0.100649351
ALACHUA,Total AdultICU Capacity,308
ALACHUA,Pediatric ICU Census,44
ALACHUA,Available Pediatric ICU,3
ALACHUA,Available Pediatric ICU%,0.063829787
ALACHUA,Total PediatricICU Capacity,47
BAKER,Adult ICU Census,0
BAKER,Available Adult ICU,0
BAKER,Available Adult ICU%,
BAKER,Total AdultICU Capacity,0
BAKER,Pediatric ICU Census,0
BAKER,Available Pediatric ICU,0
BAKER,Available Pediatric ICU%,
BAKER,Total PediatricICU Capacity,0
BAY,Adult ICU Census,46
BAY,Available Adult ICU,6
BAY,Available Adult ICU%,0.115384615
BAY,Total AdultICU Capacity,52
BAY,Pediatric ICU Census,0
BAY,Available Pediatric ICU,4
BAY,Available Pediatric ICU%,1
BAY,Total PediatricICU Capacity,4
BRADFORD,Adult ICU Census,0
BRADFORD,Available Adult ICU,0
BRADFORD,Available Adult ICU%,
BRADFORD,Total AdultICU Capacity,0
BRADFORD,Pediatric ICU Census,0
BRADFORD,Available Pediatric ICU,0
BRADFORD,Available Pediatric ICU%,
BRADFORD,Total PediatricICU Capacity,0
BREVARD,Adult ICU Census,138
BREVARD,Available Adult ICU,29
BREVARD,Available Adult ICU%,0.173652695
BREVARD,Total AdultICU Capacity,167
BREVARD,Pediatric ICU Census,0
BREVARD,Available Pediatric ICU,0
BREVARD,Available Pediatric ICU%,
BREVARD,Total PediatricICU Capacity,0
BROWARD,Adult ICU Census,350
BROWARD,Available Adult ICU,115
BROWARD,Available Adult ICU%,0.247311828
BROWARD,Total AdultICU Capacity,465
BROWARD,Pediatric ICU Census,36
BROWARD,Available Pediatric ICU,23
BROWARD,Available Pediatric ICU%,0.389830508
BROWARD,Total PediatricICU Capacity,59
CALHOUN,Adult ICU Census,0
CALHOUN,Available Adult ICU,0
CALHOUN,Available Adult ICU%,
CALHOUN,Total AdultICU Capacity,0
CALHOUN,Pediatric ICU Census,0
CALHOUN,Available Pediatric ICU,0
CALHOUN,Available Pediatric ICU%,
CALHOUN,Total PediatricICU Capacity,0
CHARLOTTE,Adult ICU Census,37
CHARLOTTE,Available Adult ICU,12
CHARLOTTE,Available Adult ICU%,0.244897959
CHARLOTTE,Total AdultICU Capacity,49
CHARLOTTE,Pediatric ICU Census,0
CHARLOTTE,Available Pediatric ICU,0
CHARLOTTE,Available Pediatric ICU%,
CHARLOTTE,Total PediatricICU Capacity,0
CITRUS,Adult ICU Census,32
CITRUS,Available Adult ICU,8
CITRUS,Available Adult ICU%,0.2
CITRUS,Total AdultICU Capacity,40
CITRUS,Pediatric ICU Census,0
CITRUS,Available Pediatric ICU,0
CITRUS,Available Pediatric ICU%,
CITRUS,Total PediatricICU Capacity,0
CLAY,Adult ICU Census,40
CLAY,Available Adult ICU,9
CLAY,Available Adult ICU%,0.183673469
CLAY,Total AdultICU Capacity,49
CLAY,Pediatric ICU Census,3
CLAY,Available Pediatric ICU,1
CLAY,Available Pediatric ICU%,0.25
CLAY,Total PediatricICU Capacity,4
COLLIER,Adult ICU Census,53
COLLIER,Available Adult ICU,32
