County,COVID Hospitalizations
ALACHUA,70
BAKER,7
BAY,17
BRADFORD,0
BREVARD,59
BROWARD,215
CALHOUN,0
CHARLOTTE,24
CITRUS,23
CLAY,33
COLLIER,26
COLUMBIA,15
DESOTO,0
DUVAL,120
ESCAMBIA,36
FLAGLER,14
FRANKLIN,0
GADSDEN,29
GULF,0
HARDEE,0
HENDRY,2
HERNANDO,20
HIGHLANDS,19
HILLSBOROUGH,141
HOLMES,-1
INDIAN RIVER,8
JACKSON,4
LAKE,31
LEE,44
LEON,39
MADISON,0
MANATEE,20
MARION,27
MARTIN,20
MIAMI-DADE,268
MONROE,3
NASSAU,2
OKALOOSA,18
OKEECHOBEE,13
ORANGE,122
OSCEOLA,67
PALM BEACH,111
PASCO,38
PINELLAS,98
POLK,84
PUTNAM,7
SANTA ROSA,1
SARASOTA,30
SEMINOLE,31
ST. JOHNS,13
ST. LUCIE,51
SUMTER,11
SUWANNEE,0
TAYLOR,0
UNION,12
VOLUSIA,51
WALTON,5
WASHINGTON,1
All,"2,099"
