County,COVID Hospitalizations
ALACHUA,138
BAKER,33
BAY,82
BRADFORD,0
BREVARD,126
BROWARD,"1,271"
CALHOUN,0
CHARLOTTE,59
CITRUS,33
CLAY,86
COLLIER,153
COLUMBIA,31
DESOTO,2
DUVAL,490
ESCAMBIA,205
FLAGLER,20
FRANKLIN,0
GADSDEN,34
GULF,3
HARDEE,0
HENDRY,8
HERNANDO,70
HIGHLANDS,49
HILLSBOROUGH,518
HOLMES,1
INDIAN RIVER,25
JACKSON,20
LAKE,102
LEE,213
LEON,76
MADISON,0
MANATEE,127
MARION,107
MARTIN,32
MIAMI-DADE,"1,975"
MONROE,16
NASSAU,4
OKALOOSA,48
OKEECHOBEE,14
ORANGE,528
OSCEOLA,204
PALM BEACH,616
PASCO,117
PINELLAS,427
POLK,291
PUTNAM,22
SANTA ROSA,26
SARASOTA,148
SEMINOLE,145
ST. JOHNS,35
ST. LUCIE,180
SUMTER,32
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,141
WALTON,12
WASHINGTON,3
All,"9,098"
