County,COVID Hospitalizations
ALACHUA,115
BAKER,37
BAY,63
BREVARD,126
BROWARD,"1,211"
CALHOUN,1
CHARLOTTE,40
CITRUS,20
CLAY,61
COLLIER,124
COLUMBIA,20
DESOTO,2
DUVAL,525
ESCAMBIA,167
FLAGLER,20
FRANKLIN,0
GADSDEN,0
GULF,2
HARDEE,0
HENDRY,3
HERNANDO,58
HIGHLANDS,51
HILLSBOROUGH,293
HOLMES,0
INDIAN RIVER,35
JACKSON,36
LAKE,128
LEE,274
LEON,65
MADISON,0
MANATEE,95
MARION,86
MARTIN,43
MIAMI-DADE,"1,767"
MONROE,15
NASSAU,4
OKALOOSA,39
OKEECHOBEE,17
ORANGE,573
OSCEOLA,193
PALM BEACH,639
PASCO,104
PINELLAS,237
POLK,148
PUTNAM,21
SANTA ROSA,18
SARASOTA,141
SEMINOLE,194
ST. JOHNS,36
ST. LUCIE,135
SUMTER,25
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,141
WALTON,6
WASHINGTON,5
All,"8,159"
