County,COVID Hospitalizations
ALACHUA,120
BAKER,13
BAY,72
BRADFORD,0
BREVARD,116
BROWARD,885
CALHOUN,1
CHARLOTTE,38
CITRUS,27
CLAY,58
COLLIER,128
COLUMBIA,35
DESOTO,2
DUVAL,371
ESCAMBIA,161
FLAGLER,16
FRANKLIN,0
GADSDEN,126
GULF,4
HARDEE,0
HENDRY,8
HERNANDO,53
HIGHLANDS,51
HILLSBOROUGH,334
HOLMES,2
INDIAN RIVER,24
JACKSON,19
LAKE,83
LEE,180
LEON,84
MADISON,0
MANATEE,71
MARION,107
MARTIN,23
MIAMI-DADE,"1,368"
MONROE,8
NASSAU,4
OKALOOSA,49
OKEECHOBEE,12
ORANGE,305
OSCEOLA,115
PALM BEACH,421
PASCO,80
PINELLAS,256
POLK,200
PUTNAM,9
SANTA ROSA,20
SARASOTA,84
SEMINOLE,101
ST. JOHNS,28
ST. LUCIE,119
SUMTER,21
SUWANNEE,0
TAYLOR,1
UNION,0
VOLUSIA,131
WALTON,11
WASHINGTON,7
All,"6,562"
