County,COVID Hospitalizations
ALACHUA,126
BAKER,34
BAY,91
BRADFORD,0
BREVARD,126
BROWARD,"1,288"
CALHOUN,1
CHARLOTTE,55
CITRUS,30
CLAY,84
COLLIER,174
COLUMBIA,37
DESOTO,4
DUVAL,505
ESCAMBIA,199
FLAGLER,21
FRANKLIN,0
GADSDEN,14
GULF,0
HARDEE,0
HENDRY,8
HERNANDO,84
HIGHLANDS,54
HILLSBOROUGH,571
HOLMES,1
INDIAN RIVER,32
JACKSON,26
LAKE,121
LEE,274
LEON,76
MADISON,0
MANATEE,116
MARION,104
MARTIN,45
MIAMI-DADE,"2,053"
MONROE,17
NASSAU,4
OKALOOSA,44
OKEECHOBEE,12
ORANGE,587
OSCEOLA,193
PALM BEACH,602
PASCO,136
PINELLAS,455
POLK,266
PUTNAM,18
SANTA ROSA,17
SARASOTA,154
SEMINOLE,181
ST. JOHNS,37
ST. LUCIE,152
SUMTER,32
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,164
WALTON,11
WASHINGTON,3
All,"9,439"
