County,Measure Names,Measure Values
ALACHUA,Bed Census,"1,448"
ALACHUA,Available,246
ALACHUA,Available Capacity,0.145218418
ALACHUA,Total Staffed Bed Capacity,"1,694"
BAKER,Bed Census,460
BAKER,Available,165
BAKER,Available Capacity,0.264
BAKER,Total Staffed Bed Capacity,625
BAY,Bed Census,437
BAY,Available,95
BAY,Available Capacity,0.178571429
BAY,Total Staffed Bed Capacity,532
BRADFORD,Bed Census,5
BRADFORD,Available,5
BRADFORD,Available Capacity,0.5
BRADFORD,Total Staffed Bed Capacity,10
BREVARD,Bed Census,"1,201"
BREVARD,Available,421
BREVARD,Available Capacity,0.259556104
BREVARD,Total Staffed Bed Capacity,"1,622"
BROWARD,Bed Census,"4,074"
BROWARD,Available,"1,112"
BROWARD,Available Capacity,0.214423448
BROWARD,Total Staffed Bed Capacity,"5,186"
CALHOUN,Bed Census,8
CALHOUN,Available,2
CALHOUN,Available Capacity,0.2
CALHOUN,Total Staffed Bed Capacity,10
CHARLOTTE,Bed Census,411
CHARLOTTE,Available,202
CHARLOTTE,Available Capacity,0.329526917
CHARLOTTE,Total Staffed Bed Capacity,613
CITRUS,Bed Census,238
CITRUS,Available,73
CITRUS,Available Capacity,0.234726688
CITRUS,Total Staffed Bed Capacity,311
CLAY,Bed Census,468
CLAY,Available,76
CLAY,Available Capacity,0.139705882
CLAY,Total Staffed Bed Capacity,544
COLLIER,Bed Census,657
COLLIER,Available,194
COLLIER,Available Capacity,0.227967098
COLLIER,Total Staffed Bed Capacity,851
COLUMBIA,Bed Census,98
COLUMBIA,Available,0
COLUMBIA,Available Capacity,0
COLUMBIA,Total Staffed Bed Capacity,98
DESOTO,Bed Census,13
DESOTO,Available,40
DESOTO,Available Capacity,0.754716981
DESOTO,Total Staffed Bed Capacity,53
DUVAL,Bed Census,"2,880"
DUVAL,Available,869
DUVAL,Available Capacity,0.231795145
DUVAL,Total Staffed Bed Capacity,"3,749"
ESCAMBIA,Bed Census,"1,089"
