County,COVID Hospitalizations
ALACHUA,116
BAKER,33
BAY,77
BRADFORD,0
BREVARD,143
BROWARD,"1,227"
CALHOUN,1
CHARLOTTE,36
CITRUS,26
CLAY,82
COLLIER,186
COLUMBIA,25
DESOTO,5
DUVAL,484
ESCAMBIA,191
FLAGLER,19
FRANKLIN,0
GADSDEN,5
GULF,1
HARDEE,0
HENDRY,3
HERNANDO,97
HIGHLANDS,63
HILLSBOROUGH,560
HOLMES,1
INDIAN RIVER,26
JACKSON,31
LAKE,133
LEE,253
LEON,74
MADISON,1
MANATEE,82
MARION,103
MARTIN,33
MIAMI-DADE,"1,964"
MONROE,15
NASSAU,5
OKALOOSA,47
OKEECHOBEE,22
ORANGE,610
OSCEOLA,183
PALM BEACH,606
PASCO,129
PINELLAS,435
POLK,293
PUTNAM,12
SANTA ROSA,19
SARASOTA,154
SEMINOLE,176
ST. JOHNS,32
ST. LUCIE,141
SUMTER,28
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,164
WALTON,9
WASHINGTON,3
All,"9,164"
