County,COVID Hospitalizations
ALACHUA,114
BAKER,33
BAY,73
BRADFORD,0
BREVARD,122
BROWARD,"1,203"
CALHOUN,2
CHARLOTTE,31
CITRUS,23
CLAY,60
COLLIER,192
COLUMBIA,23
DESOTO,5
DUVAL,522
ESCAMBIA,186
FLAGLER,19
FRANKLIN,0
GADSDEN,3
GULF,2
HARDEE,0
HENDRY,4
HERNANDO,87
HIGHLANDS,64
HILLSBOROUGH,458
HOLMES,0
INDIAN RIVER,36
JACKSON,35
LAKE,130
LEE,248
LEON,60
MADISON,1
MANATEE,106
MARION,94
MARTIN,41
MIAMI-DADE,"1,850"
MONROE,19
NASSAU,1
OKALOOSA,45
OKEECHOBEE,17
ORANGE,625
OSCEOLA,180
PALM BEACH,667
PASCO,139
PINELLAS,372
POLK,170
PUTNAM,16
SANTA ROSA,20
SARASOTA,150
SEMINOLE,164
ST. JOHNS,29
ST. LUCIE,127
SUMTER,29
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,154
WALTON,8
WASHINGTON,4
All,"8,763"
