County,COVID Hospitalizations
WASHINGTON,4
WALTON,5
VOLUSIA,134
UNION,0
TAYLOR,0
SUWANNEE,0
SUMTER,20
ST. LUCIE,115
ST. JOHNS,24
SEMINOLE,155
SARASOTA,107
SANTA ROSA,21
PUTNAM,15
POLK,151
PINELLAS,204
PASCO,90
PALM BEACH,595
OSCEOLA,199
ORANGE,489
OKEECHOBEE,11
OKALOOSA,35
NASSAU,5
MONROE,10
MIAMI-DADE,1597
MARTIN,45
MARION,85
MANATEE,80
MADISON,0
LEON,52
LEE,269
LAKE,121
JACKSON,33
INDIAN RIVER,28
HOLMES,0
HILLSBOROUGH,275
HIGHLANDS,30
HERNANDO,49
HENDRY,3
HARDEE,0
GULF,1
GADSDEN,0
FRANKLIN,0
FLAGLER,16
ESCAMBIA,137
DUVAL,457
DESOTO,4
COLUMBIA,19
COLLIER,176
CLAY,39
CITRUS,17
CHARLOTTE,30
CALHOUN,0
BROWARD,1005
BREVARD,104
BAY,30
BAKER,18
ALACHUA,79
