County,COVID Hospitalizations
ALACHUA,56
BAKER,2
BAY,23
BRADFORD,0
BREVARD,75
BROWARD,202
CALHOUN,0
CHARLOTTE,24
CITRUS,19
CLAY,28
COLLIER,21
COLUMBIA,17
DESOTO,0
DUVAL,128
ESCAMBIA,37
FLAGLER,9
FRANKLIN,0
GADSDEN,18
GULF,0
HARDEE,0
HENDRY,2
HERNANDO,15
HIGHLANDS,24
HILLSBOROUGH,148
HOLMES,0
INDIAN RIVER,8
JACKSON,7
LAKE,34
LEE,25
LEON,50
MADISON,0
MANATEE,26
MARION,32
MARTIN,15
MIAMI-DADE,280
MONROE,5
NASSAU,1
OKALOOSA,17
OKEECHOBEE,9
ORANGE,120
OSCEOLA,72
PALM BEACH,111
PASCO,33
PINELLAS,85
POLK,93
PUTNAM,9
SANTA ROSA,5
SARASOTA,28
SEMINOLE,28
ST. JOHNS,14
ST. LUCIE,52
SUMTER,9
SUWANNEE,0
TAYLOR,0
UNION,14
VOLUSIA,46
WALTON,3
WASHINGTON,1
All,"2,080"
