County,COVID Hospitalizations
ALACHUA,70
BAKER,16
BAY,27
BRADFORD,0
BREVARD,50
BROWARD,228
CALHOUN,0
CHARLOTTE,30
CITRUS,22
CLAY,30
COLLIER,31
COLUMBIA,12
DESOTO,2
DUVAL,137
ESCAMBIA,52
FLAGLER,15
FRANKLIN,0
GADSDEN,44
GULF,0
HARDEE,0
HENDRY,2
HERNANDO,17
HIGHLANDS,26
HILLSBOROUGH,148
HOLMES,0
INDIAN RIVER,3
JACKSON,6
LAKE,33
LEE,58
LEON,52
MADISON,0
MANATEE,11
MARION,44
MARTIN,16
MIAMI-DADE,316
MONROE,2
NASSAU,1
OKALOOSA,16
OKEECHOBEE,13
ORANGE,107
OSCEOLA,43
PALM BEACH,136
PASCO,30
PINELLAS,98
POLK,110
PUTNAM,8
SANTA ROSA,2
SARASOTA,34
SEMINOLE,33
ST. JOHNS,14
ST. LUCIE,37
SUMTER,11
SUWANNEE,0
TAYLOR,0
UNION,13
VOLUSIA,57
WALTON,2
WASHINGTON,1
All,"2,266"
