County,COVID Hospitalizations
ALACHUA,120
BAKER,0
BAY,70
BRADFORD,0
BREVARD,105
BROWARD,598
CALHOUN,0
CHARLOTTE,43
CITRUS,27
CLAY,57
COLLIER,72
COLUMBIA,21
DESOTO,2
DUVAL,271
ESCAMBIA,112
FLAGLER,9
FRANKLIN,0
GADSDEN,114
GULF,1
HARDEE,0
HENDRY,2
HERNANDO,31
HIGHLANDS,25
HILLSBOROUGH,232
HOLMES,3
INDIAN RIVER,9
JACKSON,14
LAKE,63
LEE,134
LEON,87
MADISON,0
MANATEE,40
MARION,95
MARTIN,21
MIAMI-DADE,887
MONROE,4
NASSAU,9
OKALOOSA,33
OKEECHOBEE,12
ORANGE,240
OSCEOLA,88
PALM BEACH,246
PASCO,53
PINELLAS,152
POLK,145
PUTNAM,6
SANTA ROSA,18
SARASOTA,68
SEMINOLE,71
ST. JOHNS,11
ST. LUCIE,74
SUMTER,15
SUWANNEE,0
TAYLOR,0
UNION,3
VOLUSIA,93
WALTON,3
WASHINGTON,2
All,"4,611"
