County,COVID Hospitalizations
ALACHUA,54
BAKER,3
BAY,21
BRADFORD,0
BREVARD,66
BROWARD,207
CALHOUN,0
CHARLOTTE,26
CITRUS,9
CLAY,28
COLLIER,25
COLUMBIA,12
DESOTO,0
DUVAL,125
ESCAMBIA,46
FLAGLER,7
FRANKLIN,0
GADSDEN,16
GULF,0
HARDEE,0
HENDRY,1
HERNANDO,17
HIGHLANDS,23
HILLSBOROUGH,150
HOLMES,0
INDIAN RIVER,14
JACKSON,9
LAKE,38
LEE,38
LEON,41
MADISON,0
MANATEE,26
MARION,31
MARTIN,15
MIAMI-DADE,262
MONROE,2
NASSAU,1
OKALOOSA,15
OKEECHOBEE,8
ORANGE,116
OSCEOLA,68
PALM BEACH,99
PASCO,41
PINELLAS,99
POLK,80
PUTNAM,7
SANTA ROSA,4
SARASOTA,28
SEMINOLE,29
ST. JOHNS,13
ST. LUCIE,47
SUMTER,12
SUWANNEE,0
TAYLOR,0
UNION,14
VOLUSIA,41
WALTON,3
WASHINGTON,1
All,"2,038"
