County,COVID Hospitalizations
ALACHUA,150
BAKER,34
BAY,79
BRADFORD,0
BREVARD,124
BROWARD,"1,206"
CALHOUN,0
CHARLOTTE,53
CITRUS,26
CLAY,72
COLLIER,134
COLUMBIA,31
DESOTO,3
DUVAL,464
ESCAMBIA,199
FLAGLER,21
FRANKLIN,0
GADSDEN,61
GULF,4
HARDEE,0
HENDRY,8
HERNANDO,62
HIGHLANDS,56
HILLSBOROUGH,445
HOLMES,1
INDIAN RIVER,29
JACKSON,17
LAKE,93
LEE,164
LEON,80
MADISON,0
MANATEE,119
MARION,114
MARTIN,33
MIAMI-DADE,"1,773"
MONROE,12
NASSAU,5
OKALOOSA,52
OKEECHOBEE,11
ORANGE,456
OSCEOLA,148
PALM BEACH,526
PASCO,75
PINELLAS,351
POLK,283
PUTNAM,13
SANTA ROSA,29
SARASOTA,133
SEMINOLE,127
ST. JOHNS,29
ST. LUCIE,159
SUMTER,32
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,132
WALTON,12
WASHINGTON,6
All,"8,246"
