County,COVID Hospitalizations
ALACHUA,128
BAKER,3
BAY,63
BRADFORD,0
BREVARD,122
BROWARD,739
CALHOUN,0
CHARLOTTE,45
CITRUS,29
CLAY,64
COLLIER,98
COLUMBIA,30
DESOTO,1
DUVAL,316
ESCAMBIA,139
FLAGLER,15
FRANKLIN,0
GADSDEN,126
GULF,2
HARDEE,0
HENDRY,4
HERNANDO,44
HIGHLANDS,46
HILLSBOROUGH,301
HOLMES,2
INDIAN RIVER,19
JACKSON,9
LAKE,81
LEE,149
LEON,86
MADISON,0
MANATEE,57
MARION,118
MARTIN,19
MIAMI-DADE,"1,125"
MONROE,13
NASSAU,8
OKALOOSA,40
OKEECHOBEE,12
ORANGE,249
OSCEOLA,92
PALM BEACH,357
PASCO,67
PINELLAS,218
POLK,169
PUTNAM,8
SANTA ROSA,18
SARASOTA,87
SEMINOLE,80
ST. JOHNS,21
ST. LUCIE,108
SUMTER,16
SUWANNEE,0
TAYLOR,1
UNION,0
VOLUSIA,110
WALTON,5
WASHINGTON,8
All,"5,667"
