County,COVID Hospitalizations
ALACHUA,68
BAKER,16
BAY,28
BRADFORD,0
BREVARD,44
BROWARD,246
CALHOUN,0
CHARLOTTE,29
CITRUS,24
CLAY,36
COLLIER,31
COLUMBIA,12
DESOTO,1
DUVAL,149
ESCAMBIA,59
FLAGLER,17
FRANKLIN,0
GADSDEN,44
GULF,0
HARDEE,0
HENDRY,2
HERNANDO,13
HIGHLANDS,25
HILLSBOROUGH,139
HOLMES,0
INDIAN RIVER,8
JACKSON,12
LAKE,38
LEE,55
LEON,58
MADISON,0
MANATEE,12
MARION,36
MARTIN,18
MIAMI-DADE,352
MONROE,2
NASSAU,2
OKALOOSA,16
OKEECHOBEE,16
ORANGE,113
OSCEOLA,44
PALM BEACH,162
PASCO,26
PINELLAS,96
POLK,114
PUTNAM,9
SANTA ROSA,2
SARASOTA,32
SEMINOLE,36
ST. JOHNS,15
ST. LUCIE,47
SUMTER,10
SUWANNEE,0
TAYLOR,0
UNION,13
VOLUSIA,55
WALTON,3
WASHINGTON,2
All,"2,387"
