County,COVID Hospitalizations
ALACHUA,92
BAKER,33
BAY,24
BRADFORD,0
BREVARD,70
BROWARD,324
CALHOUN,0
CHARLOTTE,24
CITRUS,29
CLAY,39
COLLIER,37
COLUMBIA,14
DESOTO,2
DUVAL,156
ESCAMBIA,74
FLAGLER,14
FRANKLIN,0
GADSDEN,87
GULF,1
HARDEE,0
HENDRY,3
HERNANDO,19
HIGHLANDS,24
HILLSBOROUGH,167
HOLMES,0
INDIAN RIVER,9
JACKSON,8
LAKE,51
LEE,87
LEON,62
MADISON,0
MANATEE,10
MARION,52
MARTIN,13
MIAMI-DADE,469
MONROE,3
NASSAU,5
OKALOOSA,24
OKEECHOBEE,8
ORANGE,133
OSCEOLA,54
PALM BEACH,153
PASCO,28
PINELLAS,127
POLK,116
PUTNAM,3
SANTA ROSA,6
SARASOTA,37
SEMINOLE,45
ST. JOHNS,12
ST. LUCIE,58
SUMTER,12
SUWANNEE,0
TAYLOR,0
UNION,18
VOLUSIA,54
WALTON,5
WASHINGTON,2
All,"2,897"
