County,COVID Hospitalizations
ALACHUA,47
BAKER,4
BAY,19
BRADFORD,0
BREVARD,76
BROWARD,216
CALHOUN,0
CHARLOTTE,22
CITRUS,10
CLAY,30
COLLIER,26
COLUMBIA,16
DESOTO,2
DUVAL,108
ESCAMBIA,40
FLAGLER,7
FRANKLIN,0
GADSDEN,12
GULF,0
HARDEE,0
HENDRY,3
HERNANDO,18
HIGHLANDS,19
HILLSBOROUGH,169
HOLMES,1
INDIAN RIVER,9
JACKSON,12
LAKE,41
LEE,26
LEON,37
MADISON,0
MANATEE,30
MARION,30
MARTIN,13
MIAMI-DADE,277
MONROE,3
NASSAU,2
OKALOOSA,15
OKEECHOBEE,12
ORANGE,141
OSCEOLA,71
PALM BEACH,102
PASCO,51
PINELLAS,101
POLK,77
PUTNAM,5
SANTA ROSA,4
SARASOTA,28
SEMINOLE,24
ST. JOHNS,14
ST. LUCIE,48
SUMTER,17
SUWANNEE,0
TAYLOR,0
UNION,14
VOLUSIA,64
WALTON,5
WASHINGTON,2
All,"2,120"
