County,COVID Hospitalizations
ALACHUA,95
BAKER,30
BAY,42
BREVARD,124
BROWARD,931
CALHOUN,1
CHARLOTTE,36
CITRUS,19
CLAY,46
COLLIER,186
COLUMBIA,20
DESOTO,3
DUVAL,484
ESCAMBIA,155
FLAGLER,16
FRANKLIN,0
GADSDEN,0
GULF,1
HARDEE,0
HENDRY,8
HERNANDO,54
HIGHLANDS,37
HILLSBOROUGH,278
HOLMES,2
INDIAN RIVER,31
JACKSON,32
LAKE,120
LEE,266
LEON,63
MADISON,0
MANATEE,84
MARION,88
MARTIN,51
MIAMI-DADE,"1,692"
MONROE,11
NASSAU,5
OKALOOSA,38
OKEECHOBEE,14
ORANGE,542
OSCEOLA,206
PALM BEACH,623
PASCO,106
PINELLAS,218
POLK,145
PUTNAM,17
SANTA ROSA,21
SARASOTA,137
SEMINOLE,178
ST. JOHNS,28
ST. LUCIE,120
SUMTER,20
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,135
WALTON,6
WASHINGTON,4
All,"7,569"
