County,COVID Hospitalizations
ALACHUA,112
BAKER,20
BAY,87
BRADFORD,0
BREVARD,108
BROWARD,912
CALHOUN,2
CHARLOTTE,47
CITRUS,28
CLAY,25
COLLIER,133
COLUMBIA,23
DESOTO,1
DUVAL,376
ESCAMBIA,167
FLAGLER,14
FRANKLIN,0
GADSDEN,126
GULF,3
HARDEE,0
HENDRY,8
HERNANDO,52
HIGHLANDS,51
HILLSBOROUGH,358
HOLMES,1
INDIAN RIVER,20
JACKSON,19
LAKE,83
LEE,187
LEON,86
MADISON,0
MANATEE,83
MARION,91
MARTIN,26
MIAMI-DADE,"1,512"
MONROE,8
NASSAU,4
OKALOOSA,51
OKEECHOBEE,16
ORANGE,333
OSCEOLA,140
PALM BEACH,424
PASCO,81
PINELLAS,261
POLK,227
PUTNAM,12
SANTA ROSA,12
SARASOTA,84
SEMINOLE,108
ST. JOHNS,27
ST. LUCIE,129
SUMTER,27
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,126
WALTON,13
WASHINGTON,9
All,"6,853"
