County,COVID Hospitalizations
WASHINGTON,4
WALTON,6
VOLUSIA,135
UNION,0
TAYLOR,0
SUWANNEE,0
SUMTER,20
ST. LUCIE,120
ST. JOHNS,28
SEMINOLE,176
SARASOTA,127
SANTA ROSA,21
PUTNAM,15
POLK,146
PINELLAS,206
PASCO,104
PALM BEACH,613
OSCEOLA,203
ORANGE,517
OKEECHOBEE,11
OKALOOSA,38
NASSAU,5
MONROE,10
MIAMI-DADE,1663
MARTIN,51
MARION,88
MANATEE,84
MADISON,0
LEON,60
LEE,266
LAKE,119
JACKSON,32
INDIAN RIVER,31
HOLMES,2
HILLSBOROUGH,283
HIGHLANDS,37
HERNANDO,34
HENDRY,8
HARDEE,0
GULF,1
GADSDEN,0
FRANKLIN,0
FLAGLER,16
ESCAMBIA,155
DUVAL,475
DESOTO,3
COLUMBIA,22
COLLIER,172
CLAY,19
CITRUS,17
CHARLOTTE,33
CALHOUN,0
BROWARD,1050
BREVARD,121
BAY,42
BAKER,30
ALACHUA,80
