County,Measure Names,Measure Values
ALACHUA,Adult ICU Census,281
ALACHUA,Available Adult ICU,27
ALACHUA,Available Adult ICU%,0.087662338
ALACHUA,Total AdultICU Capacity,308
ALACHUA,Pediatric ICU Census,41
ALACHUA,Available Pediatric ICU,6
ALACHUA,Available Pediatric ICU%,0.127659574
ALACHUA,Total PediatricICU Capacity,47
BAKER,Adult ICU Census,0
BAKER,Available Adult ICU,0
BAKER,Available Adult ICU%,
BAKER,Total AdultICU Capacity,0
BAKER,Pediatric ICU Census,0
BAKER,Available Pediatric ICU,0
BAKER,Available Pediatric ICU%,
BAKER,Total PediatricICU Capacity,0
BAY,Adult ICU Census,46
BAY,Available Adult ICU,4
BAY,Available Adult ICU%,0.08
BAY,Total AdultICU Capacity,50
BAY,Pediatric ICU Census,0
BAY,Available Pediatric ICU,4
BAY,Available Pediatric ICU%,1
BAY,Total PediatricICU Capacity,4
BRADFORD,Adult ICU Census,0
BRADFORD,Available Adult ICU,0
BRADFORD,Available Adult ICU%,
BRADFORD,Total AdultICU Capacity,0
BRADFORD,Pediatric ICU Census,0
BRADFORD,Available Pediatric ICU,0
BRADFORD,Available Pediatric ICU%,
BRADFORD,Total PediatricICU Capacity,0
BREVARD,Adult ICU Census,130
BREVARD,Available Adult ICU,37
BREVARD,Available Adult ICU%,0.221556886
BREVARD,Total AdultICU Capacity,167
BREVARD,Pediatric ICU Census,0
BREVARD,Available Pediatric ICU,0
BREVARD,Available Pediatric ICU%,
BREVARD,Total PediatricICU Capacity,0
BROWARD,Adult ICU Census,387
BROWARD,Available Adult ICU,134
BROWARD,Available Adult ICU%,0.257197697
BROWARD,Total AdultICU Capacity,521
BROWARD,Pediatric ICU Census,34
BROWARD,Available Pediatric ICU,24
BROWARD,Available Pediatric ICU%,0.413793103
BROWARD,Total PediatricICU Capacity,58
CALHOUN,Adult ICU Census,0
CALHOUN,Available Adult ICU,0
CALHOUN,Available Adult ICU%,
CALHOUN,Total AdultICU Capacity,0
CALHOUN,Pediatric ICU Census,0
CALHOUN,Available Pediatric ICU,0
CALHOUN,Available Pediatric ICU%,
CALHOUN,Total PediatricICU Capacity,0
CHARLOTTE,Adult ICU Census,42
CHARLOTTE,Available Adult ICU,7
CHARLOTTE,Available Adult ICU%,0.142857143
CHARLOTTE,Total AdultICU Capacity,49
CHARLOTTE,Pediatric ICU Census,0
CHARLOTTE,Available Pediatric ICU,0
CHARLOTTE,Available Pediatric ICU%,
CHARLOTTE,Total PediatricICU Capacity,0
CITRUS,Adult ICU Census,32
CITRUS,Available Adult ICU,8
CITRUS,Available Adult ICU%,0.2
CITRUS,Total AdultICU Capacity,40
CITRUS,Pediatric ICU Census,0
CITRUS,Available Pediatric ICU,0
CITRUS,Available Pediatric ICU%,
CITRUS,Total PediatricICU Capacity,0
CLAY,Adult ICU Census,42
CLAY,Available Adult ICU,8
CLAY,Available Adult ICU%,0.16
CLAY,Total AdultICU Capacity,50
CLAY,Pediatric ICU Census,2
CLAY,Available Pediatric ICU,2
CLAY,Available Pediatric ICU%,0.5
CLAY,Total PediatricICU Capacity,4
COLLIER,Adult ICU Census,56
COLLIER,Available Adult ICU,29
COLLIER,Available Adult ICU%,0.341176471
COLLIER,Total AdultICU Capacity,85
COLLIER,Pediatric ICU Census,0
COLLIER,Available Pediatric ICU,0
COLLIER,Available Pediatric ICU%,
COLLIER,Total PediatricICU Capacity,0
COLUMBIA,Adult ICU Census,15
COLUMBIA,Available Adult ICU,0
COLUMBIA,Available Adult ICU%,0
COLUMBIA,Total AdultICU Capacity,15
COLUMBIA,Pediatric ICU Census,0
COLUMBIA,Available Pediatric ICU,0
COLUMBIA,Available Pediatric ICU%,
COLUMBIA,Total PediatricICU Capacity,0
DESOTO,Adult ICU Census,4
DESOTO,Available Adult ICU,4
DESOTO,Available Adult ICU%,0.5
DESOTO,Total AdultICU Capacity,8
DESOTO,Pediatric ICU Census,0
DESOTO,Available Pediatric ICU,0
DESOTO,Available Pediatric ICU%,
DESOTO,Total PediatricICU Capacity,0
DUVAL,Adult ICU Census,328
DUVAL,Available Adult ICU,109
DUVAL,Available Adult ICU%,0.249427918
DUVAL,Total AdultICU Capacity,437
DUVAL,Pediatric ICU Census,25
DUVAL,Available Pediatric ICU,15
DUVAL,Available Pediatric ICU%,0.375
DUVAL,Total PediatricICU Capacity,40
ESCAMBIA,Adult ICU Census,129
ESCAMBIA,Available Adult ICU,12
ESCAMBIA,Available Adult ICU%,0.085106383
ESCAMBIA,Total AdultICU Capacity,141
ESCAMBIA,Pediatric ICU Census,6
