County,Measure Names,Measure Values
ALACHUA,Bed Census,"1,447"
ALACHUA,Available,277
ALACHUA,Available Capacity,0.160672854
ALACHUA,Total Staffed Bed Capacity,"1,724"
BAKER,Bed Census,470
BAKER,Available,155
BAKER,Available Capacity,0.248
BAKER,Total Staffed Bed Capacity,625
BAY,Bed Census,417
BAY,Available,120
BAY,Available Capacity,0.223463687
BAY,Total Staffed Bed Capacity,537
BRADFORD,Bed Census,5
BRADFORD,Available,5
BRADFORD,Available Capacity,0.5
BRADFORD,Total Staffed Bed Capacity,10
BREVARD,Bed Census,"1,152"
BREVARD,Available,454
BREVARD,Available Capacity,0.282689913
BREVARD,Total Staffed Bed Capacity,"1,606"
BROWARD,Bed Census,"3,982"
BROWARD,Available,"1,171"
BROWARD,Available Capacity,0.227246264
BROWARD,Total Staffed Bed Capacity,"5,153"
CALHOUN,Bed Census,5
CALHOUN,Available,5
CALHOUN,Available Capacity,0.5
CALHOUN,Total Staffed Bed Capacity,10
CHARLOTTE,Bed Census,397
CHARLOTTE,Available,208
CHARLOTTE,Available Capacity,0.343801653
CHARLOTTE,Total Staffed Bed Capacity,605
CITRUS,Bed Census,211
CITRUS,Available,91
CITRUS,Available Capacity,0.301324503
CITRUS,Total Staffed Bed Capacity,302
CLAY,Bed Census,444
CLAY,Available,114
CLAY,Available Capacity,0.204301075
CLAY,Total Staffed Bed Capacity,558
COLLIER,Bed Census,666
COLLIER,Available,158
COLLIER,Available Capacity,0.191747573
COLLIER,Total Staffed Bed Capacity,824
COLUMBIA,Bed Census,92
COLUMBIA,Available,0
COLUMBIA,Available Capacity,0
COLUMBIA,Total Staffed Bed Capacity,92
DESOTO,Bed Census,14
DESOTO,Available,41
DESOTO,Available Capacity,0.745454545
DESOTO,Total Staffed Bed Capacity,55
DUVAL,Bed Census,"2,663"
DUVAL,Available,"1,064"
DUVAL,Available Capacity,0.285484304
DUVAL,Total Staffed Bed Capacity,"3,727"
ESCAMBIA,Bed Census,"1,049"
ESCAMBIA,Available,404
ESCAMBIA,Available Capacity,0.278045423
ESCAMBIA,Total Staffed Bed Capacity,"1,453"
FLAGLER,Bed Census,86
FLAGLER,Available,13
FLAGLER,Available Capacity,0.131313131
FLAGLER,Total Staffed Bed Capacity,99
FRANKLIN,Bed Census,1
FRANKLIN,Available,14
FRANKLIN,Available Capacity,0.933333333
FRANKLIN,Total Staffed Bed Capacity,15
GADSDEN,Bed Census,656
GADSDEN,Available,297
GADSDEN,Available Capacity,0.311647429
