County,COVID Hospitalizations
ALACHUA,51
BAKER,3
BAY,11
BRADFORD,0
BREVARD,67
BROWARD,203
CALHOUN,0
CHARLOTTE,12
CITRUS,10
CLAY,37
COLLIER,27
COLUMBIA,16
DESOTO,2
DUVAL,120
ESCAMBIA,40
FLAGLER,5
FRANKLIN,0
GADSDEN,8
GULF,0
HARDEE,0
HENDRY,2
HERNANDO,23
HIGHLANDS,24
HILLSBOROUGH,162
HOLMES,0
INDIAN RIVER,8
JACKSON,10
LAKE,44
LEE,31
LEON,44
MADISON,0
MANATEE,30
MARION,24
MARTIN,9
MIAMI-DADE,242
MONROE,2
NASSAU,2
OKALOOSA,13
OKEECHOBEE,10
ORANGE,152
OSCEOLA,66
PALM BEACH,113
PASCO,35
PINELLAS,113
POLK,73
PUTNAM,2
SANTA ROSA,6
SARASOTA,32
SEMINOLE,24
ST. JOHNS,10
ST. LUCIE,51
SUMTER,19
SUWANNEE,0
TAYLOR,0
UNION,16
VOLUSIA,64
WALTON,7
WASHINGTON,2
All,"2,077"
