County,COVID Hospitalizations
ALACHUA,52
BAKER,3
BAY,20
BRADFORD,0
BREVARD,65
BROWARD,204
CALHOUN,0
CHARLOTTE,24
CITRUS,9
CLAY,28
COLLIER,25
COLUMBIA,12
DESOTO,1
DUVAL,119
ESCAMBIA,41
FLAGLER,7
FRANKLIN,0
GADSDEN,16
GULF,0
HARDEE,0
HENDRY,1
HERNANDO,14
HIGHLANDS,23
HILLSBOROUGH,153
HOLMES,1
INDIAN RIVER,11
JACKSON,8
LAKE,39
LEE,28
LEON,41
MADISON,0
MANATEE,26
MARION,31
MARTIN,15
MIAMI-DADE,267
MONROE,2
NASSAU,1
OKALOOSA,15
OKEECHOBEE,9
ORANGE,115
OSCEOLA,71
PALM BEACH,105
PASCO,41
PINELLAS,97
POLK,80
PUTNAM,7
SANTA ROSA,6
SARASOTA,28
SEMINOLE,30
ST. JOHNS,13
ST. LUCIE,48
SUMTER,12
SUWANNEE,0
TAYLOR,0
UNION,14
VOLUSIA,45
WALTON,3
WASHINGTON,1
All,"2,027"
