County,Measure Names,Measure Values
ALACHUA,Bed Census,"1,484"
ALACHUA,Available,249
ALACHUA,Available Capacity,0.143681477
ALACHUA,Total Staffed Bed Capacity,"1,733"
BAKER,Bed Census,467
BAKER,Available,158
BAKER,Available Capacity,0.2528
BAKER,Total Staffed Bed Capacity,625
BAY,Bed Census,454
BAY,Available,86
BAY,Available Capacity,0.159259259
BAY,Total Staffed Bed Capacity,540
BRADFORD,Bed Census,5
BRADFORD,Available,5
BRADFORD,Available Capacity,0.5
BRADFORD,Total Staffed Bed Capacity,10
BREVARD,Bed Census,"1,267"
BREVARD,Available,380
BREVARD,Available Capacity,0.230722526
BREVARD,Total Staffed Bed Capacity,"1,647"
BROWARD,Bed Census,"5,379"
BROWARD,Available,"1,069"
BROWARD,Available Capacity,0.165787841
BROWARD,Total Staffed Bed Capacity,"6,448"
CALHOUN,Bed Census,2
CALHOUN,Available,8
CALHOUN,Available Capacity,0.8
CALHOUN,Total Staffed Bed Capacity,10
CHARLOTTE,Bed Census,407
CHARLOTTE,Available,222
CHARLOTTE,Available Capacity,0.352941176
CHARLOTTE,Total Staffed Bed Capacity,629
CITRUS,Bed Census,232
CITRUS,Available,66
CITRUS,Available Capacity,0.221476510
CITRUS,Total Staffed Bed Capacity,298
CLAY,Bed Census,473
CLAY,Available,80
CLAY,Available Capacity,0.144665461
CLAY,Total Staffed Bed Capacity,553
COLLIER,Bed Census,676
COLLIER,Available,175
COLLIER,Available Capacity,0.205640423
COLLIER,Total Staffed Bed Capacity,851
COLUMBIA,Bed Census,92
COLUMBIA,Available,0
COLUMBIA,Available Capacity,0
COLUMBIA,Total Staffed Bed Capacity,92
DESOTO,Bed Census,18
DESOTO,Available,37
DESOTO,Available Capacity,0.672727273
DESOTO,Total Staffed Bed Capacity,55
DUVAL,Bed Census,"2,762"
DUVAL,Available,805
DUVAL,Available Capacity,0.225679843
DUVAL,Total Staffed Bed Capacity,"3,567"
ESCAMBIA,Bed Census,"1,095"
ESCAMBIA,Available,394
ESCAMBIA,Available Capacity,0.264607119
ESCAMBIA,Total Staffed Bed Capacity,"1,489"
FLAGLER,Bed Census,95
FLAGLER,Available,4
FLAGLER,Available Capacity,0.040404040
FLAGLER,Total Staffed Bed Capacity,99
FRANKLIN,Bed Census,0
FRANKLIN,Available,15
FRANKLIN,Available Capacity,1
FRANKLIN,Total Staffed Bed Capacity,15
GADSDEN,Bed Census,745
GADSDEN,Available,208
GADSDEN,Available Capacity,0.218258132
GADSDEN,Total Staffed Bed Capacity,953
GULF,Bed Census,4
GULF,Available,17
GULF,Available Capacity,0.809523810
GULF,Total Staffed Bed Capacity,21
HARDEE,Bed Census,21
HARDEE,Available,4
HARDEE,Available Capacity,0.16
HARDEE,Total Staffed Bed Capacity,25
HENDRY,Bed Census,15
HENDRY,Available,14
HENDRY,Available Capacity,0.482758621
HENDRY,Total Staffed Bed Capacity,29
HERNANDO,Bed Census,496
HERNANDO,Available,264
HERNANDO,Available Capacity,0.347368421
HERNANDO,Total Staffed Bed Capacity,760
HIGHLANDS,Bed Census,204
HIGHLANDS,Available,52
HIGHLANDS,Available Capacity,0.203125
