County,COVID Hospitalizations
ALACHUA,91
BAKER,1
BAY,37
BRADFORD,0
BREVARD,93
BROWARD,463
CALHOUN,0
CHARLOTTE,35
CITRUS,31
CLAY,49
COLLIER,57
COLUMBIA,19
DESOTO,3
DUVAL,224
ESCAMBIA,99
FLAGLER,6
FRANKLIN,0
GADSDEN,175
GULF,0
HARDEE,0
HENDRY,2
HERNANDO,28
HIGHLANDS,21
HILLSBOROUGH,195
HOLMES,0
INDIAN RIVER,6
JACKSON,14
LAKE,78
LEE,113
LEON,76
MADISON,0
MANATEE,25
MARION,75
MARTIN,12
MIAMI-DADE,697
MONROE,1
NASSAU,8
OKALOOSA,27
OKEECHOBEE,11
ORANGE,176
OSCEOLA,71
PALM BEACH,181
PASCO,51
PINELLAS,136
POLK,119
PUTNAM,9
SANTA ROSA,14
SARASOTA,46
SEMINOLE,51
ST. JOHNS,9
ST. LUCIE,80
SUMTER,15
SUWANNEE,0
TAYLOR,0
UNION,12
VOLUSIA,57
WALTON,2
WASHINGTON,4
All,"3,805"
