County,COVID Hospitalizations
ALACHUA,117
BAKER,19
BAY,80
BRADFORD,0
BREVARD,109
BROWARD,935
CALHOUN,1
CHARLOTTE,36
CITRUS,26
CLAY,60
COLLIER,126
COLUMBIA,30
DESOTO,1
DUVAL,401
ESCAMBIA,178
FLAGLER,15
FRANKLIN,0
GADSDEN,126
GULF,3
HARDEE,0
HENDRY,8
HERNANDO,52
HIGHLANDS,51
HILLSBOROUGH,327
HOLMES,1
INDIAN RIVER,26
JACKSON,18
LAKE,87
LEE,182
LEON,85
MADISON,0
MANATEE,80
MARION,104
MARTIN,24
MIAMI-DADE,"1,450"
MONROE,7
NASSAU,5
OKALOOSA,44
OKEECHOBEE,13
ORANGE,350
OSCEOLA,133
PALM BEACH,434
PASCO,80
PINELLAS,250
POLK,215
PUTNAM,11
SANTA ROSA,15
SARASOTA,83
SEMINOLE,101
ST. JOHNS,25
ST. LUCIE,125
SUMTER,25
SUWANNEE,0
TAYLOR,1
UNION,0
VOLUSIA,134
WALTON,10
WASHINGTON,7
All,"6,826"
