County,COVID Hospitalizations
ALACHUA,59
BAKER,2
BAY,21
BRADFORD,0
BREVARD,76
BROWARD,204
CALHOUN,0
CHARLOTTE,26
CITRUS,15
CLAY,31
COLLIER,22
COLUMBIA,12
DESOTO,0
DUVAL,126
ESCAMBIA,36
FLAGLER,8
FRANKLIN,0
GADSDEN,19
GULF,0
HARDEE,0
HENDRY,2
HERNANDO,17
HIGHLANDS,22
HILLSBOROUGH,143
HOLMES,0
INDIAN RIVER,11
JACKSON,9
LAKE,39
LEE,29
LEON,49
MADISON,0
MANATEE,27
MARION,28
MARTIN,15
MIAMI-DADE,277
MONROE,4
NASSAU,1
OKALOOSA,17
OKEECHOBEE,9
ORANGE,111
OSCEOLA,72
PALM BEACH,105
PASCO,36
PINELLAS,98
POLK,85
PUTNAM,8
SANTA ROSA,4
SARASOTA,16
SEMINOLE,30
ST. JOHNS,15
ST. LUCIE,51
SUMTER,12
SUWANNEE,0
TAYLOR,0
UNION,14
VOLUSIA,41
WALTON,3
WASHINGTON,1
All,"2,058"
