County,Measure Names,Measure Values
ALACHUA,Adult ICU Census,285
ALACHUA,Available Adult ICU,23
ALACHUA,Available Adult ICU%,0.074675325
ALACHUA,Total AdultICU Capacity,308
ALACHUA,Pediatric ICU Census,41
ALACHUA,Available Pediatric ICU,6
ALACHUA,Available Pediatric ICU%,0.127659574
ALACHUA,Total PediatricICU Capacity,47
BAKER,Adult ICU Census,0
BAKER,Available Adult ICU,0
BAKER,Available Adult ICU%,
BAKER,Total AdultICU Capacity,0
BAKER,Pediatric ICU Census,0
BAKER,Available Pediatric ICU,0
BAKER,Available Pediatric ICU%,
BAKER,Total PediatricICU Capacity,0
BAY,Adult ICU Census,47
BAY,Available Adult ICU,3
BAY,Available Adult ICU%,0.06
BAY,Total AdultICU Capacity,50
BAY,Pediatric ICU Census,2
BAY,Available Pediatric ICU,2
BAY,Available Pediatric ICU%,0.5
BAY,Total PediatricICU Capacity,4
BRADFORD,Adult ICU Census,0
BRADFORD,Available Adult ICU,0
BRADFORD,Available Adult ICU%,
BRADFORD,Total AdultICU Capacity,0
BRADFORD,Pediatric ICU Census,0
BRADFORD,Available Pediatric ICU,0
BRADFORD,Available Pediatric ICU%,
BRADFORD,Total PediatricICU Capacity,0
BREVARD,Adult ICU Census,125
BREVARD,Available Adult ICU,40
BREVARD,Available Adult ICU%,0.242424242
BREVARD,Total AdultICU Capacity,165
BREVARD,Pediatric ICU Census,0
BREVARD,Available Pediatric ICU,0
BREVARD,Available Pediatric ICU%,
BREVARD,Total PediatricICU Capacity,0
BROWARD,Adult ICU Census,326
BROWARD,Available Adult ICU,119
BROWARD,Available Adult ICU%,0.267415730
BROWARD,Total AdultICU Capacity,445
BROWARD,Pediatric ICU Census,32
BROWARD,Available Pediatric ICU,25
BROWARD,Available Pediatric ICU%,0.438596491
BROWARD,Total PediatricICU Capacity,57
CALHOUN,Adult ICU Census,0
CALHOUN,Available Adult ICU,0
CALHOUN,Available Adult ICU%,
CALHOUN,Total AdultICU Capacity,0
CALHOUN,Pediatric ICU Census,0
CALHOUN,Available Pediatric ICU,0
CALHOUN,Available Pediatric ICU%,
CALHOUN,Total PediatricICU Capacity,0
CHARLOTTE,Adult ICU Census,43
CHARLOTTE,Available Adult ICU,6
CHARLOTTE,Available Adult ICU%,0.122448980
CHARLOTTE,Total AdultICU Capacity,49
CHARLOTTE,Pediatric ICU Census,0
CHARLOTTE,Available Pediatric ICU,0
CHARLOTTE,Available Pediatric ICU%,
CHARLOTTE,Total PediatricICU Capacity,0
CITRUS,Adult ICU Census,33
CITRUS,Available Adult ICU,7
CITRUS,Available Adult ICU%,0.175
CITRUS,Total AdultICU Capacity,40
CITRUS,Pediatric ICU Census,0
CITRUS,Available Pediatric ICU,0
CITRUS,Available Pediatric ICU%,
CITRUS,Total PediatricICU Capacity,0
CLAY,Adult ICU Census,44
CLAY,Available Adult ICU,6
CLAY,Available Adult ICU%,0.12
CLAY,Total AdultICU Capacity,50
CLAY,Pediatric ICU Census,4
CLAY,Available Pediatric ICU,0
CLAY,Available Pediatric ICU%,0
CLAY,Total PediatricICU Capacity,4
COLLIER,Adult ICU Census,55
COLLIER,Available Adult ICU,29
COLLIER,Available Adult ICU%,0.345238095
COLLIER,Total AdultICU Capacity,84
COLLIER,Pediatric ICU Census,0
COLLIER,Available Pediatric ICU,0
COLLIER,Available Pediatric ICU%,
COLLIER,Total PediatricICU Capacity,0
COLUMBIA,Adult ICU Census,12
COLUMBIA,Available Adult ICU,0
COLUMBIA,Available Adult ICU%,0
COLUMBIA,Total AdultICU Capacity,12
COLUMBIA,Pediatric ICU Census,0
COLUMBIA,Available Pediatric ICU,0
COLUMBIA,Available Pediatric ICU%,
COLUMBIA,Total PediatricICU Capacity,0
DESOTO,Adult ICU Census,1
DESOTO,Available Adult ICU,7
DESOTO,Available Adult ICU%,0.875
DESOTO,Total AdultICU Capacity,8
DESOTO,Pediatric ICU Census,0
DESOTO,Available Pediatric ICU,0
DESOTO,Available Pediatric ICU%,
DESOTO,Total PediatricICU Capacity,0
DUVAL,Adult ICU Census,330
DUVAL,Available Adult ICU,104
DUVAL,Available Adult ICU%,0.239631336
DUVAL,Total AdultICU Capacity,434
DUVAL,Pediatric ICU Census,24
DUVAL,Available Pediatric ICU,16
DUVAL,Available Pediatric ICU%,0.4
DUVAL,Total PediatricICU Capacity,40
ESCAMBIA,Adult ICU Census,131
ESCAMBIA,Available Adult ICU,10
ESCAMBIA,Available Adult ICU%,0.070921986
ESCAMBIA,Total AdultICU Capacity,141
ESCAMBIA,Pediatric ICU Census,9
ESCAMBIA,Available Pediatric ICU,7
ESCAMBIA,Available Pediatric ICU%,0.4375
ESCAMBIA,Total PediatricICU Capacity,16
FLAGLER,Adult ICU Census,15
FLAGLER,Available Adult ICU,3
FLAGLER,Available Adult ICU%,0.166666667
FLAGLER,Total AdultICU Capacity,18
FLAGLER,Pediatric ICU Census,0
FLAGLER,Available Pediatric ICU,0
FLAGLER,Available Pediatric ICU%,
FLAGLER,Total PediatricICU Capacity,0
FRANKLIN,Adult ICU Census,0
FRANKLIN,Available Adult ICU,0
FRANKLIN,Available Adult ICU%,
FRANKLIN,Total AdultICU Capacity,0
FRANKLIN,Pediatric ICU Census,0
FRANKLIN,Available Pediatric ICU,0
FRANKLIN,Available Pediatric ICU%,
FRANKLIN,Total PediatricICU Capacity,0
GADSDEN,Adult ICU Census,0
GADSDEN,Available Adult ICU,0
GADSDEN,Available Adult ICU%,
GADSDEN,Total AdultICU Capacity,0
GADSDEN,Pediatric ICU Census,0
GADSDEN,Available Pediatric ICU,0
GADSDEN,Available Pediatric ICU%,
GADSDEN,Total PediatricICU Capacity,0
GULF,Adult ICU Census,0
GULF,Available Adult ICU,0
GULF,Available Adult ICU%,
GULF,Total AdultICU Capacity,0
GULF,Pediatric ICU Census,0
GULF,Available Pediatric ICU,0
GULF,Available Pediatric ICU%,
GULF,Total PediatricICU Capacity,0
HARDEE,Adult ICU Census,0
HARDEE,Available Adult ICU,0
HARDEE,Available Adult ICU%,
HARDEE,Total AdultICU Capacity,0
HARDEE,Pediatric ICU Census,0
HARDEE,Available Pediatric ICU,0
HARDEE,Available Pediatric ICU%,
HARDEE,Total PediatricICU Capacity,0
HENDRY,Adult ICU Census,0
HENDRY,Available Adult ICU,4
HENDRY,Available Adult ICU%,1
HENDRY,Total AdultICU Capacity,4
HENDRY,Pediatric ICU Census,0
HENDRY,Available Pediatric ICU,0
HENDRY,Available Pediatric ICU%,
HENDRY,Total PediatricICU Capacity,0
HERNANDO,Adult ICU Census,53
HERNANDO,Available Adult ICU,9
HERNANDO,Available Adult ICU%,0.145161290
HERNANDO,Total AdultICU Capacity,62
HERNANDO,Pediatric ICU Census,0
HERNANDO,Available Pediatric ICU,0
HERNANDO,Available Pediatric ICU%,
HERNANDO,Total PediatricICU Capacity,0
HIGHLANDS,Adult ICU Census,26
HIGHLANDS,Available Adult ICU,7
HIGHLANDS,Available Adult ICU%,0.212121212
HIGHLANDS,Total AdultICU Capacity,33
HIGHLANDS,Pediatric ICU Census,0
HIGHLANDS,Available Pediatric ICU,0
HIGHLANDS,Available Pediatric ICU%,
HIGHLANDS,Total PediatricICU Capacity,0
HILLSBOROUGH,Adult ICU Census,327
HILLSBOROUGH,Available Adult ICU,45
HILLSBOROUGH,Available Adult ICU%,0.120967742
HILLSBOROUGH,Total AdultICU Capacity,372
HILLSBOROUGH,Pediatric ICU Census,18
HILLSBOROUGH,Available Pediatric ICU,23
HILLSBOROUGH,Available Pediatric ICU%,0.560975610
HILLSBOROUGH,Total PediatricICU Capacity,41
HOLMES,Adult ICU Census,0
HOLMES,Available Adult ICU,0
HOLMES,Available Adult ICU%,
HOLMES,Total AdultICU Capacity,0
HOLMES,Pediatric ICU Census,0
HOLMES,Available Pediatric ICU,0
HOLMES,Available Pediatric ICU%,
HOLMES,Total PediatricICU Capacity,0
INDIAN RIVER,Adult ICU Census,25
INDIAN RIVER,Available Adult ICU,6
INDIAN RIVER,Available Adult ICU%,0.193548387
INDIAN RIVER,Total AdultICU Capacity,31
INDIAN RIVER,Pediatric ICU Census,0
INDIAN RIVER,Available Pediatric ICU,0
INDIAN RIVER,Available Pediatric ICU%,
INDIAN RIVER,Total PediatricICU Capacity,0
JACKSON,Adult ICU Census,4
JACKSON,Available Adult ICU,4
JACKSON,Available Adult ICU%,0.5
JACKSON,Total AdultICU Capacity,8
JACKSON,Pediatric ICU Census,0
JACKSON,Available Pediatric ICU,0
JACKSON,Available Pediatric ICU%,
JACKSON,Total PediatricICU Capacity,0
LAKE,Adult ICU Census,73
LAKE,Available Adult ICU,31
LAKE,Available Adult ICU%,0.298076923
LAKE,Total AdultICU Capacity,104
LAKE,Pediatric ICU Census,0
LAKE,Available Pediatric ICU,0
LAKE,Available Pediatric ICU%,
LAKE,Total PediatricICU Capacity,0
LEE,Adult ICU Census,116
LEE,Available Adult ICU,24
LEE,Available Adult ICU%,0.171428571
LEE,Total AdultICU Capacity,140
LEE,Pediatric ICU Census,61
LEE,Available Pediatric ICU,25
LEE,Available Pediatric ICU%,0.290697674
LEE,Total PediatricICU Capacity,86
LEON,Adult ICU Census,56
LEON,Available Adult ICU,16
LEON,Available Adult ICU%,0.222222222
LEON,Total AdultICU Capacity,72
LEON,Pediatric ICU Census,2
LEON,Available Pediatric ICU,7
LEON,Available Pediatric ICU%,0.777777778
LEON,Total PediatricICU Capacity,9
MADISON,Adult ICU Census,0
MADISON,Available Adult ICU,0
MADISON,Available Adult ICU%,
MADISON,Total AdultICU Capacity,0
MADISON,Pediatric ICU Census,0
MADISON,Available Pediatric ICU,0
MADISON,Available Pediatric ICU%,
MADISON,Total PediatricICU Capacity,0
MANATEE,Adult ICU Census,57
MANATEE,Available Adult ICU,14
MANATEE,Available Adult ICU%,0.197183099
MANATEE,Total AdultICU Capacity,71
MANATEE,Pediatric ICU Census,0
MANATEE,Available Pediatric ICU,0
MANATEE,Available Pediatric ICU%,
MANATEE,Total PediatricICU Capacity,0
MARION,Adult ICU Census,82
MARION,Available Adult ICU,3
MARION,Available Adult ICU%,0.035294118
MARION,Total AdultICU Capacity,85
MARION,Pediatric ICU Census,0
MARION,Available Pediatric ICU,0
MARION,Available Pediatric ICU%,
MARION,Total PediatricICU Capacity,0
MARTIN,Adult ICU Census,12
MARTIN,Available Adult ICU,28
MARTIN,Available Adult ICU%,0.7
MARTIN,Total AdultICU Capacity,40
MARTIN,Pediatric ICU Census,0
MARTIN,Available Pediatric ICU,0
MARTIN,Available Pediatric ICU%,
MARTIN,Total PediatricICU Capacity,0
MIAMI-DADE,Adult ICU Census,738
MIAMI-DADE,Available Adult ICU,207
MIAMI-DADE,Available Adult ICU%,0.219047619
MIAMI-DADE,Total AdultICU Capacity,945
MIAMI-DADE,Pediatric ICU Census,81
MIAMI-DADE,Available Pediatric ICU,47
MIAMI-DADE,Available Pediatric ICU%,0.3671875
MIAMI-DADE,Total PediatricICU Capacity,128
MONROE,Adult ICU Census,9
MONROE,Available Adult ICU,4
MONROE,Available Adult ICU%,0.307692308
MONROE,Total AdultICU Capacity,13
MONROE,Pediatric ICU Census,0
MONROE,Available Pediatric ICU,0
MONROE,Available Pediatric ICU%,
MONROE,Total PediatricICU Capacity,0
NASSAU,Adult ICU Census,4
NASSAU,Available Adult ICU,4
NASSAU,Available Adult ICU%,0.5
NASSAU,Total AdultICU Capacity,8
NASSAU,Pediatric ICU Census,0
NASSAU,Available Pediatric ICU,0
NASSAU,Available Pediatric ICU%,
NASSAU,Total PediatricICU Capacity,0
OKALOOSA,Adult ICU Census,47
OKALOOSA,Available Adult ICU,7
OKALOOSA,Available Adult ICU%,0.129629630
OKALOOSA,Total AdultICU Capacity,54
