County,COVID Hospitalizations
ALACHUA,49
BAKER,4
BAY,23
BRADFORD,0
BREVARD,77
BROWARD,217
CALHOUN,0
CHARLOTTE,20
CITRUS,13
CLAY,30
COLLIER,28
COLUMBIA,12
DESOTO,2
DUVAL,129
ESCAMBIA,40
FLAGLER,8
FRANKLIN,0
GADSDEN,13
GULF,0
HARDEE,0
HENDRY,2
HERNANDO,13
HIGHLANDS,14
HILLSBOROUGH,160
HOLMES,1
INDIAN RIVER,13
JACKSON,9
LAKE,43
LEE,26
LEON,38
MADISON,0
MANATEE,30
MARION,26
MARTIN,15
MIAMI-DADE,281
MONROE,2
NASSAU,1
OKALOOSA,17
OKEECHOBEE,12
ORANGE,140
OSCEOLA,74
PALM BEACH,96
PASCO,54
PINELLAS,109
POLK,83
PUTNAM,7
SANTA ROSA,5
SARASOTA,29
SEMINOLE,24
ST. JOHNS,16
ST. LUCIE,49
SUMTER,16
SUWANNEE,0
TAYLOR,0
UNION,15
VOLUSIA,59
WALTON,5
WASHINGTON,2
All,"2,151"
