County,COVID Hospitalizations
ALACHUA,100
BAKER,2
BAY,62
BRADFORD,0
BREVARD,95
BROWARD,559
CALHOUN,1
CHARLOTTE,42
CITRUS,32
CLAY,49
COLLIER,63
COLUMBIA,24
DESOTO,2
DUVAL,252
ESCAMBIA,120
FLAGLER,6
FRANKLIN,0
GADSDEN,165
GULF,0
HARDEE,0
HENDRY,2
HERNANDO,26
HIGHLANDS,24
HILLSBOROUGH,210
HOLMES,4
INDIAN RIVER,11
JACKSON,15
LAKE,72
LEE,127
LEON,80
MADISON,0
MANATEE,29
MARION,102
MARTIN,20
MIAMI-DADE,802
MONROE,1
NASSAU,7
OKALOOSA,32
OKEECHOBEE,11
ORANGE,208
OSCEOLA,82
PALM BEACH,253
PASCO,47
PINELLAS,136
POLK,153
PUTNAM,7
SANTA ROSA,19
SARASOTA,51
SEMINOLE,79
ST. JOHNS,14
ST. LUCIE,87
SUMTER,17
SUWANNEE,0
TAYLOR,0
UNION,8
VOLUSIA,81
WALTON,5
WASHINGTON,4
All,"4,400"
