County,COVID Hospitalizations
ALACHUA,78
BAKER,4
BAY,27
BRADFORD,0
BREVARD,61
BROWARD,193
CALHOUN,0
CHARLOTTE,22
CITRUS,18
CLAY,33
COLLIER,14
COLUMBIA,18
DESOTO,0
DUVAL,122
ESCAMBIA,39
FLAGLER,12
FRANKLIN,0
GADSDEN,33
GULF,0
HARDEE,0
HENDRY,3
HERNANDO,20
HIGHLANDS,23
HILLSBOROUGH,151
HOLMES,-1
INDIAN RIVER,9
JACKSON,6
LAKE,31
LEE,47
LEON,42
MADISON,0
MANATEE,24
MARION,33
MARTIN,18
MIAMI-DADE,243
MONROE,4
NASSAU,1
OKALOOSA,17
OKEECHOBEE,11
ORANGE,112
OSCEOLA,65
PALM BEACH,119
PASCO,37
PINELLAS,101
POLK,81
PUTNAM,7
SANTA ROSA,2
SARASOTA,32
SEMINOLE,33
ST. JOHNS,13
ST. LUCIE,54
SUMTER,11
SUWANNEE,0
TAYLOR,0
UNION,15
VOLUSIA,52
WALTON,5
WASHINGTON,1
All,"2,096"
