County,Measure Names,Measure Values
ALACHUA,Bed Census,"1,449"
ALACHUA,Available,250
ALACHUA,Available Capacity,0.147145380
ALACHUA,Total Staffed Bed Capacity,"1,699"
BAKER,Bed Census,471
BAKER,Available,154
BAKER,Available Capacity,0.2464
BAKER,Total Staffed Bed Capacity,625
BAY,Bed Census,473
BAY,Available,85
BAY,Available Capacity,0.152329749
BAY,Total Staffed Bed Capacity,558
BRADFORD,Bed Census,5
BRADFORD,Available,5
BRADFORD,Available Capacity,0.5
BRADFORD,Total Staffed Bed Capacity,10
BREVARD,Bed Census,"1,194"
BREVARD,Available,432
BREVARD,Available Capacity,0.265682657
BREVARD,Total Staffed Bed Capacity,"1,626"
BROWARD,Bed Census,"4,166"
BROWARD,Available,"1,025"
BROWARD,Available Capacity,0.197457137
BROWARD,Total Staffed Bed Capacity,"5,191"
CALHOUN,Bed Census,6
CALHOUN,Available,4
CALHOUN,Available Capacity,0.4
CALHOUN,Total Staffed Bed Capacity,10
CHARLOTTE,Bed Census,448
CHARLOTTE,Available,170
CHARLOTTE,Available Capacity,0.275080906
CHARLOTTE,Total Staffed Bed Capacity,618
CITRUS,Bed Census,232
CITRUS,Available,89
CITRUS,Available Capacity,0.277258567
CITRUS,Total Staffed Bed Capacity,321
CLAY,Bed Census,464
CLAY,Available,90
CLAY,Available Capacity,0.162454874
CLAY,Total Staffed Bed Capacity,554
COLLIER,Bed Census,705
COLLIER,Available,148
COLLIER,Available Capacity,0.173505275
COLLIER,Total Staffed Bed Capacity,853
COLUMBIA,Bed Census,105
COLUMBIA,Available,0
COLUMBIA,Available Capacity,0
COLUMBIA,Total Staffed Bed Capacity,105
DESOTO,Bed Census,19
DESOTO,Available,36
DESOTO,Available Capacity,0.654545455
DESOTO,Total Staffed Bed Capacity,55
DUVAL,Bed Census,"2,906"
DUVAL,Available,846
DUVAL,Available Capacity,0.225479744
DUVAL,Total Staffed Bed Capacity,"3,752"
ESCAMBIA,Bed Census,"1,094"
ESCAMBIA,Available,353
ESCAMBIA,Available Capacity,0.243953006
ESCAMBIA,Total Staffed Bed Capacity,"1,447"
FLAGLER,Bed Census,82
FLAGLER,Available,17
FLAGLER,Available Capacity,0.171717172
FLAGLER,Total Staffed Bed Capacity,99
FRANKLIN,Bed Census,0
FRANKLIN,Available,15
FRANKLIN,Available Capacity,1
FRANKLIN,Total Staffed Bed Capacity,15
GADSDEN,Bed Census,671
GADSDEN,Available,282
GADSDEN,Available Capacity,0.295907660
GADSDEN,Total Staffed Bed Capacity,953
GULF,Bed Census,8
GULF,Available,13
GULF,Available Capacity,0.619047619
GULF,Total Staffed Bed Capacity,21
HARDEE,Bed Census,25
HARDEE,Available,0
HARDEE,Available Capacity,0
HARDEE,Total Staffed Bed Capacity,25
HENDRY,Bed Census,12
HENDRY,Available,17
HENDRY,Available Capacity,0.586206897
HENDRY,Total Staffed Bed Capacity,29
HERNANDO,Bed Census,533
HERNANDO,Available,191
HERNANDO,Available Capacity,0.263812155
HERNANDO,Total Staffed Bed Capacity,724
HIGHLANDS,Bed Census,206
HIGHLANDS,Available,49
HIGHLANDS,Available Capacity,0.192156863
HIGHLANDS,Total Staffed Bed Capacity,255
HILLSBOROUGH,Bed Census,"3,362"
HILLSBOROUGH,Available,487
HILLSBOROUGH,Available Capacity,0.126526370
HILLSBOROUGH,Total Staffed Bed Capacity,"3,849"
HOLMES,Bed Census,18
HOLMES,Available,2
HOLMES,Available Capacity,0.1
HOLMES,Total Staffed Bed Capacity,20
INDIAN RIVER,Bed Census,337
INDIAN RIVER,Available,125
INDIAN RIVER,Available Capacity,0.270562771
