County,COVID Hospitalizations
ALACHUA,89
BAKER,12
BAY,26
BRADFORD,0
BREVARD,46
BROWARD,251
CALHOUN,0
CHARLOTTE,29
CITRUS,24
CLAY,38
COLLIER,31
COLUMBIA,10
DESOTO,1
DUVAL,159
ESCAMBIA,57
FLAGLER,13
FRANKLIN,0
GADSDEN,48
GULF,1
HARDEE,0
HENDRY,2
HERNANDO,14
HIGHLANDS,31
HILLSBOROUGH,140
HOLMES,0
INDIAN RIVER,8
JACKSON,11
LAKE,39
LEE,59
LEON,57
MADISON,1
MANATEE,16
MARION,42
MARTIN,13
MIAMI-DADE,382
MONROE,3
NASSAU,3
OKALOOSA,17
OKEECHOBEE,15
ORANGE,108
OSCEOLA,49
PALM BEACH,163
PASCO,25
PINELLAS,106
POLK,93
PUTNAM,6
SANTA ROSA,4
SARASOTA,31
SEMINOLE,36
ST. JOHNS,14
ST. LUCIE,55
SUMTER,10
SUWANNEE,0
TAYLOR,0
UNION,8
VOLUSIA,60
WALTON,5
WASHINGTON,3
All,"2,464"
