County,COVID Hospitalizations
ALACHUA,126
BAKER,20
BAY,84
BRADFORD,0
BREVARD,91
BROWARD,"1,022"
CALHOUN,1
CHARLOTTE,37
CITRUS,28
CLAY,24
COLLIER,134
COLUMBIA,21
DESOTO,2
DUVAL,371
ESCAMBIA,165
FLAGLER,15
FRANKLIN,0
GADSDEN,120
GULF,5
HARDEE,0
HENDRY,11
HERNANDO,53
HIGHLANDS,51
HILLSBOROUGH,383
HOLMES,1
INDIAN RIVER,20
JACKSON,19
LAKE,83
LEE,201
LEON,91
MADISON,0
MANATEE,76
MARION,98
MARTIN,26
MIAMI-DADE,"1,587"
MONROE,9
NASSAU,3
OKALOOSA,49
OKEECHOBEE,13
ORANGE,363
OSCEOLA,136
PALM BEACH,422
PASCO,83
PINELLAS,276
POLK,231
PUTNAM,11
SANTA ROSA,14
SARASOTA,87
SEMINOLE,106
ST. JOHNS,28
ST. LUCIE,142
SUMTER,25
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,131
WALTON,13
WASHINGTON,8
All,"7,116"
