County,COVID Hospitalizations
ALACHUA,91
BAKER,1
BAY,37
BRADFORD,0
BREVARD,91
BROWARD,468
CALHOUN,0
CHARLOTTE,35
CITRUS,27
CLAY,48
COLLIER,56
COLUMBIA,18
DESOTO,4
DUVAL,219
ESCAMBIA,101
FLAGLER,7
FRANKLIN,0
GADSDEN,175
GULF,1
HARDEE,0
HENDRY,2
HERNANDO,28
HIGHLANDS,25
HILLSBOROUGH,193
HOLMES,0
INDIAN RIVER,6
JACKSON,14
LAKE,76
LEE,116
LEON,82
MADISON,0
MANATEE,24
MARION,77
MARTIN,9
MIAMI-DADE,699
MONROE,1
NASSAU,8
OKALOOSA,27
OKEECHOBEE,9
ORANGE,176
OSCEOLA,69
PALM BEACH,169
PASCO,49
PINELLAS,137
POLK,120
PUTNAM,9
SANTA ROSA,14
SARASOTA,45
SEMINOLE,56
ST. JOHNS,10
ST. LUCIE,79
SUMTER,15
SUWANNEE,0
TAYLOR,0
UNION,12
VOLUSIA,56
WALTON,2
WASHINGTON,4
All,"3,797"
