County,COVID Hospitalizations
ALACHUA,77
BAKER,11
BAY,20
BRADFORD,0
BREVARD,50
BROWARD,241
CALHOUN,0
CHARLOTTE,36
CITRUS,23
CLAY,29
COLLIER,33
COLUMBIA,16
DESOTO,0
DUVAL,138
ESCAMBIA,44
FLAGLER,14
FRANKLIN,0
GADSDEN,22
GULF,0
HARDEE,0
HENDRY,2
HERNANDO,17
HIGHLANDS,28
HILLSBOROUGH,143
HOLMES,0
INDIAN RIVER,3
JACKSON,9
LAKE,30
LEE,60
LEON,54
MADISON,0
MANATEE,15
MARION,38
MARTIN,17
MIAMI-DADE,316
MONROE,3
NASSAU,2
OKALOOSA,16
OKEECHOBEE,14
ORANGE,118
OSCEOLA,48
PALM BEACH,149
PASCO,36
PINELLAS,106
POLK,117
PUTNAM,5
SANTA ROSA,1
SARASOTA,39
SEMINOLE,35
ST. JOHNS,11
ST. LUCIE,49
SUMTER,12
SUWANNEE,0
TAYLOR,0
UNION,10
VOLUSIA,63
WALTON,3
WASHINGTON,1
All,"2,324"
