County,Measure Names,Measure Values
ALACHUA,Adult ICU Census,275
ALACHUA,Available Adult ICU,33
ALACHUA,Available Adult ICU%,0.107142857
ALACHUA,Total AdultICU Capacity,308
ALACHUA,Pediatric ICU Census,43
ALACHUA,Available Pediatric ICU,4
ALACHUA,Available Pediatric ICU%,0.085106383
ALACHUA,Total PediatricICU Capacity,47
BAKER,Adult ICU Census,0
BAKER,Available Adult ICU,0
BAKER,Available Adult ICU%,
BAKER,Total AdultICU Capacity,0
BAKER,Pediatric ICU Census,0
BAKER,Available Pediatric ICU,0
BAKER,Available Pediatric ICU%,
BAKER,Total PediatricICU Capacity,0
BAY,Adult ICU Census,46
BAY,Available Adult ICU,6
BAY,Available Adult ICU%,0.115384615
BAY,Total AdultICU Capacity,52
BAY,Pediatric ICU Census,1
BAY,Available Pediatric ICU,3
BAY,Available Pediatric ICU%,0.75
BAY,Total PediatricICU Capacity,4
BRADFORD,Adult ICU Census,0
BRADFORD,Available Adult ICU,0
BRADFORD,Available Adult ICU%,
BRADFORD,Total AdultICU Capacity,0
BRADFORD,Pediatric ICU Census,0
BRADFORD,Available Pediatric ICU,0
BRADFORD,Available Pediatric ICU%,
BRADFORD,Total PediatricICU Capacity,0
BREVARD,Adult ICU Census,137
BREVARD,Available Adult ICU,30
BREVARD,Available Adult ICU%,0.179640719
BREVARD,Total AdultICU Capacity,167
BREVARD,Pediatric ICU Census,0
BREVARD,Available Pediatric ICU,0
BREVARD,Available Pediatric ICU%,
BREVARD,Total PediatricICU Capacity,0
BROWARD,Adult ICU Census,363
BROWARD,Available Adult ICU,107
BROWARD,Available Adult ICU%,0.227659574
BROWARD,Total AdultICU Capacity,470
BROWARD,Pediatric ICU Census,35
BROWARD,Available Pediatric ICU,24
BROWARD,Available Pediatric ICU%,0.406779661
BROWARD,Total PediatricICU Capacity,59
CALHOUN,Adult ICU Census,0
CALHOUN,Available Adult ICU,0
CALHOUN,Available Adult ICU%,
CALHOUN,Total AdultICU Capacity,0
CALHOUN,Pediatric ICU Census,0
CALHOUN,Available Pediatric ICU,0
CALHOUN,Available Pediatric ICU%,
CALHOUN,Total PediatricICU Capacity,0
CHARLOTTE,Adult ICU Census,40
CHARLOTTE,Available Adult ICU,9
CHARLOTTE,Available Adult ICU%,0.183673469
CHARLOTTE,Total AdultICU Capacity,49
CHARLOTTE,Pediatric ICU Census,0
CHARLOTTE,Available Pediatric ICU,0
CHARLOTTE,Available Pediatric ICU%,
CHARLOTTE,Total PediatricICU Capacity,0
CITRUS,Adult ICU Census,31
CITRUS,Available Adult ICU,9
CITRUS,Available Adult ICU%,0.225
CITRUS,Total AdultICU Capacity,40
CITRUS,Pediatric ICU Census,0
CITRUS,Available Pediatric ICU,0
CITRUS,Available Pediatric ICU%,
CITRUS,Total PediatricICU Capacity,0
CLAY,Adult ICU Census,42
CLAY,Available Adult ICU,8
CLAY,Available Adult ICU%,0.16
CLAY,Total AdultICU Capacity,50
CLAY,Pediatric ICU Census,1
CLAY,Available Pediatric ICU,3
CLAY,Available Pediatric ICU%,0.75
CLAY,Total PediatricICU Capacity,4
COLLIER,Adult ICU Census,54
COLLIER,Available Adult ICU,31
COLLIER,Available Adult ICU%,0.364705882
COLLIER,Total AdultICU Capacity,85
COLLIER,Pediatric ICU Census,0
COLLIER,Available Pediatric ICU,0
COLLIER,Available Pediatric ICU%,
COLLIER,Total PediatricICU Capacity,0
COLUMBIA,Adult ICU Census,11
COLUMBIA,Available Adult ICU,0
COLUMBIA,Available Adult ICU%,0
COLUMBIA,Total AdultICU Capacity,11
COLUMBIA,Pediatric ICU Census,0
COLUMBIA,Available Pediatric ICU,0
COLUMBIA,Available Pediatric ICU%,
COLUMBIA,Total PediatricICU Capacity,0
DESOTO,Adult ICU Census,2
DESOTO,Available Adult ICU,6
DESOTO,Available Adult ICU%,0.75
DESOTO,Total AdultICU Capacity,8
DESOTO,Pediatric ICU Census,0
DESOTO,Available Pediatric ICU,0
DESOTO,Available Pediatric ICU%,
