County,COVID Hospitalizations
ALACHUA,79
BAKER,11
BAY,20
BRADFORD,0
BREVARD,45
BROWARD,220
CALHOUN,0
CHARLOTTE,33
CITRUS,21
CLAY,30
COLLIER,28
COLUMBIA,17
DESOTO,0
DUVAL,128
ESCAMBIA,37
FLAGLER,14
FRANKLIN,0
GADSDEN,25
GULF,0
HARDEE,0
HENDRY,4
HERNANDO,21
HIGHLANDS,29
HILLSBOROUGH,147
HOLMES,0
INDIAN RIVER,4
JACKSON,5
LAKE,28
LEE,55
LEON,52
MADISON,0
MANATEE,14
MARION,38
MARTIN,16
MIAMI-DADE,315
MONROE,3
NASSAU,2
OKALOOSA,16
OKEECHOBEE,15
ORANGE,119
OSCEOLA,62
PALM BEACH,133
PASCO,39
PINELLAS,98
POLK,110
PUTNAM,5
SANTA ROSA,1
SARASOTA,42
SEMINOLE,27
ST. JOHNS,11
ST. LUCIE,49
SUMTER,11
SUWANNEE,0
TAYLOR,0
UNION,10
VOLUSIA,61
WALTON,5
WASHINGTON,0
All,"2,255"
