County,Measure Names,Measure Values
ALACHUA,Bed Census,"1,478"
ALACHUA,Available,235
ALACHUA,Available Capacity,0.137186223
ALACHUA,Total Staffed Bed Capacity,"1,713"
BAKER,Bed Census,474
BAKER,Available,151
BAKER,Available Capacity,0.2416
BAKER,Total Staffed Bed Capacity,625
BAY,Bed Census,479
BAY,Available,81
BAY,Available Capacity,0.144642857
BAY,Total Staffed Bed Capacity,560
BRADFORD,Bed Census,5
BRADFORD,Available,5
BRADFORD,Available Capacity,0.5
BRADFORD,Total Staffed Bed Capacity,10
BREVARD,Bed Census,"1,227"
BREVARD,Available,402
BREVARD,Available Capacity,0.246777164
BREVARD,Total Staffed Bed Capacity,"1,629"
BROWARD,Bed Census,"4,213"
BROWARD,Available,997
BROWARD,Available Capacity,0.191362764
BROWARD,Total Staffed Bed Capacity,"5,210"
CALHOUN,Bed Census,5
CALHOUN,Available,5
CALHOUN,Available Capacity,0.5
CALHOUN,Total Staffed Bed Capacity,10
CHARLOTTE,Bed Census,444
CHARLOTTE,Available,164
CHARLOTTE,Available Capacity,0.269736842
CHARLOTTE,Total Staffed Bed Capacity,608
CITRUS,Bed Census,236
CITRUS,Available,84
CITRUS,Available Capacity,0.2625
CITRUS,Total Staffed Bed Capacity,320
CLAY,Bed Census,459
CLAY,Available,89
CLAY,Available Capacity,0.162408759
CLAY,Total Staffed Bed Capacity,548
COLLIER,Bed Census,705
COLLIER,Available,150
COLLIER,Available Capacity,0.175438596
COLLIER,Total Staffed Bed Capacity,855
COLUMBIA,Bed Census,102
COLUMBIA,Available,0
COLUMBIA,Available Capacity,0
COLUMBIA,Total Staffed Bed Capacity,102
DESOTO,Bed Census,19
DESOTO,Available,36
DESOTO,Available Capacity,0.654545455
DESOTO,Total Staffed Bed Capacity,55
DUVAL,Bed Census,"2,895"
DUVAL,Available,843
DUVAL,Available Capacity,0.225521669
DUVAL,Total Staffed Bed Capacity,"3,738"
ESCAMBIA,Bed Census,"1,096"
ESCAMBIA,Available,360
ESCAMBIA,Available Capacity,0.247252747
ESCAMBIA,Total Staffed Bed Capacity,"1,456"
FLAGLER,Bed Census,85
FLAGLER,Available,14
FLAGLER,Available Capacity,0.141414141
FLAGLER,Total Staffed Bed Capacity,99
FRANKLIN,Bed Census,1
FRANKLIN,Available,14
FRANKLIN,Available Capacity,0.933333333
FRANKLIN,Total Staffed Bed Capacity,15
GADSDEN,Bed Census,662
GADSDEN,Available,291
GADSDEN,Available Capacity,0.305351522
GADSDEN,Total Staffed Bed Capacity,953
GULF,Bed Census,10
GULF,Available,11
GULF,Available Capacity,0.523809524
GULF,Total Staffed Bed Capacity,21
HARDEE,Bed Census,24
HARDEE,Available,1
HARDEE,Available Capacity,0.04
HARDEE,Total Staffed Bed Capacity,25
HENDRY,Bed Census,11
HENDRY,Available,18
HENDRY,Available Capacity,0.620689655
HENDRY,Total Staffed Bed Capacity,29
HERNANDO,Bed Census,540
HERNANDO,Available,186
HERNANDO,Available Capacity,0.256198347
HERNANDO,Total Staffed Bed Capacity,726
HIGHLANDS,Bed Census,208
HIGHLANDS,Available,43
HIGHLANDS,Available Capacity,0.171314741
HIGHLANDS,Total Staffed Bed Capacity,251
HILLSBOROUGH,Bed Census,"3,346"
HILLSBOROUGH,Available,491
HILLSBOROUGH,Available Capacity,0.127964556
HILLSBOROUGH,Total Staffed Bed Capacity,"3,837"
HOLMES,Bed Census,18
HOLMES,Available,2
HOLMES,Available Capacity,0.1
HOLMES,Total Staffed Bed Capacity,20
INDIAN RIVER,Bed Census,343
INDIAN RIVER,Available,115
INDIAN RIVER,Available Capacity,0.251091703
INDIAN RIVER,Total Staffed Bed Capacity,458
JACKSON,Bed Census,42
JACKSON,Available,46
JACKSON,Available Capacity,0.522727273
JACKSON,Total Staffed Bed Capacity,88
LAKE,Bed Census,698
LAKE,Available,210
LAKE,Available Capacity,0.231277533
LAKE,Total Staffed Bed Capacity,908
LEE,Bed Census,"1,463"
LEE,Available,381
LEE,Available Capacity,0.206616052
LEE,Total Staffed Bed Capacity,"1,844"
LEON,Bed Census,738
LEON,Available,125
LEON,Available Capacity,0.144843569
LEON,Total Staffed Bed Capacity,863
MADISON,Bed Census,10
MADISON,Available,5
MADISON,Available Capacity,0.333333333
MADISON,Total Staffed Bed Capacity,15
MANATEE,Bed Census,672
MANATEE,Available,120
MANATEE,Available Capacity,0.151515152
MANATEE,Total Staffed Bed Capacity,792
MARION,Bed Census,822
MARION,Available,92
MARION,Available Capacity,0.100656455
MARION,Total Staffed Bed Capacity,914
MARTIN,Bed Census,268
MARTIN,Available,238
MARTIN,Available Capacity,0.470355731
MARTIN,Total Staffed Bed Capacity,506
MIAMI-DADE,Bed Census,"6,261"
MIAMI-DADE,Available,"2,179"
MIAMI-DADE,Available Capacity,0.258175355
MIAMI-DADE,Total Staffed Bed Capacity,"8,440"
MONROE,Bed Census,74
MONROE,Available,91
MONROE,Available Capacity,0.551515152
MONROE,Total Staffed Bed Capacity,165
NASSAU,Bed Census,38
NASSAU,Available,30
NASSAU,Available Capacity,0.441176471
NASSAU,Total Staffed Bed Capacity,68
OKALOOSA,Bed Census,371
OKALOOSA,Available,84
OKALOOSA,Available Capacity,0.184615385
OKALOOSA,Total Staffed Bed Capacity,455
OKEECHOBEE,Bed Census,54
OKEECHOBEE,Available,46
OKEECHOBEE,Available Capacity,0.46
OKEECHOBEE,Total Staffed Bed Capacity,100
ORANGE,Bed Census,"3,460"
ORANGE,Available,978
ORANGE,Available Capacity,0.220369536
ORANGE,Total Staffed Bed Capacity,"4,438"
OSCEOLA,Bed Census,909
OSCEOLA,Available,241
OSCEOLA,Available Capacity,0.209565217
OSCEOLA,Total Staffed Bed Capacity,"1,150"
PALM BEACH,Bed Census,"2,871"
PALM BEACH,Available,"1,142"
PALM BEACH,Available Capacity,0.284575131
PALM BEACH,Total Staffed Bed Capacity,"4,013"
PASCO,Bed Census,"1,130"
PASCO,Available,205
PASCO,Available Capacity,0.153558052
PASCO,Total Staffed Bed Capacity,"1,335"
PINELLAS,Bed Census,"2,604"
PINELLAS,Available,"1,024"
PINELLAS,Available Capacity,0.282249173
PINELLAS,Total Staffed Bed Capacity,"3,628"
POLK,Bed Census,"1,369"
POLK,Available,303
POLK,Available Capacity,0.181220096
POLK,Total Staffed Bed Capacity,"1,672"
PUTNAM,Bed Census,53
PUTNAM,Available,31
PUTNAM,Available Capacity,0.369047619
PUTNAM,Total Staffed Bed Capacity,84
SANTA ROSA,Bed Census,127
SANTA ROSA,Available,222
SANTA ROSA,Available Capacity,0.636103152
SANTA ROSA,Total Staffed Bed Capacity,349
SARASOTA,Bed Census,982
SARASOTA,Available,244
SARASOTA,Available Capacity,0.199021207
SARASOTA,Total Staffed Bed Capacity,"1,226"
SEMINOLE,Bed Census,730
SEMINOLE,Available,193
SEMINOLE,Available Capacity,0.209100758
SEMINOLE,Total Staffed Bed Capacity,923
ST. JOHNS,Bed Census,206
ST. JOHNS,Available,124
ST. JOHNS,Available Capacity,0.375757576
ST. JOHNS,Total Staffed Bed Capacity,330
ST. LUCIE,Bed Census,734
ST. LUCIE,Available,140
ST. LUCIE,Available Capacity,0.160183066
ST. LUCIE,Total Staffed Bed Capacity,874
SUMTER,Bed Census,257
SUMTER,Available,90
SUMTER,Available Capacity,0.259365994
SUMTER,Total Staffed Bed Capacity,347
SUWANNEE,Bed Census,0
SUWANNEE,Available,0
SUWANNEE,Available Capacity,
SUWANNEE,Total Staffed Bed Capacity,0
TAYLOR,Bed Census,2
TAYLOR,Available,10
TAYLOR,Available Capacity,0.833333333
TAYLOR,Total Staffed Bed Capacity,12
UNION,Bed Census,55
UNION,Available,31
UNION,Available Capacity,0.360465116
UNION,Total Staffed Bed Capacity,86
VOLUSIA,Bed Census,"1,161"
VOLUSIA,Available,424
VOLUSIA,Available Capacity,0.267507886
VOLUSIA,Total Staffed Bed Capacity,"1,585"
WALTON,Bed Census,67
WALTON,Available,50
WALTON,Available Capacity,0.427350427
WALTON,Total Staffed Bed Capacity,117
WASHINGTON,Bed Census,50
WASHINGTON,Available,9
WASHINGTON,Available Capacity,0.152542373
WASHINGTON,Total Staffed Bed Capacity,59
All,Bed Census,"47,363"
All,Available,"13,896"
All,Available Capacity,0.226840138
All,Total Staffed Bed Capacity,"61,259"
