County,Measure Names,Measure Values
ALACHUA,Adult ICU Census,279
ALACHUA,Available Adult ICU,29
ALACHUA,Available Adult ICU%,0.094155844
ALACHUA,Total AdultICU Capacity,308
ALACHUA,Pediatric ICU Census,39
ALACHUA,Available Pediatric ICU,8
ALACHUA,Available Pediatric ICU%,0.170212766
ALACHUA,Total PediatricICU Capacity,47
BAKER,Adult ICU Census,0
BAKER,Available Adult ICU,0
BAKER,Available Adult ICU%,
BAKER,Total AdultICU Capacity,0
BAKER,Pediatric ICU Census,0
BAKER,Available Pediatric ICU,0
BAKER,Available Pediatric ICU%,
BAKER,Total PediatricICU Capacity,0
BAY,Adult ICU Census,48
BAY,Available Adult ICU,6
BAY,Available Adult ICU%,0.111111111
BAY,Total AdultICU Capacity,54
BAY,Pediatric ICU Census,3
BAY,Available Pediatric ICU,1
BAY,Available Pediatric ICU%,0.25
BAY,Total PediatricICU Capacity,4
BRADFORD,Adult ICU Census,0
BRADFORD,Available Adult ICU,0
BRADFORD,Available Adult ICU%,
BRADFORD,Total AdultICU Capacity,0
BRADFORD,Pediatric ICU Census,0
BRADFORD,Available Pediatric ICU,0
BRADFORD,Available Pediatric ICU%,
BRADFORD,Total PediatricICU Capacity,0
BREVARD,Adult ICU Census,132
BREVARD,Available Adult ICU,45
BREVARD,Available Adult ICU%,0.254237288
BREVARD,Total AdultICU Capacity,177
BREVARD,Pediatric ICU Census,0
BREVARD,Available Pediatric ICU,0
BREVARD,Available Pediatric ICU%,
BREVARD,Total PediatricICU Capacity,0
BROWARD,Adult ICU Census,390
BROWARD,Available Adult ICU,98
BROWARD,Available Adult ICU%,0.200819672
BROWARD,Total AdultICU Capacity,488
BROWARD,Pediatric ICU Census,29
BROWARD,Available Pediatric ICU,29
BROWARD,Available Pediatric ICU%,0.5
BROWARD,Total PediatricICU Capacity,58
CALHOUN,Adult ICU Census,0
CALHOUN,Available Adult ICU,0
CALHOUN,Available Adult ICU%,
CALHOUN,Total AdultICU Capacity,0
CALHOUN,Pediatric ICU Census,0
CALHOUN,Available Pediatric ICU,0
CALHOUN,Available Pediatric ICU%,
CALHOUN,Total PediatricICU Capacity,0
CHARLOTTE,Adult ICU Census,37
CHARLOTTE,Available Adult ICU,11
CHARLOTTE,Available Adult ICU%,0.229166667
CHARLOTTE,Total AdultICU Capacity,48
CHARLOTTE,Pediatric ICU Census,0
CHARLOTTE,Available Pediatric ICU,0
CHARLOTTE,Available Pediatric ICU%,
CHARLOTTE,Total PediatricICU Capacity,0
CITRUS,Adult ICU Census,30
CITRUS,Available Adult ICU,10
CITRUS,Available Adult ICU%,0.25
CITRUS,Total AdultICU Capacity,40
CITRUS,Pediatric ICU Census,0
CITRUS,Available Pediatric ICU,0
CITRUS,Available Pediatric ICU%,
CITRUS,Total PediatricICU Capacity,0
CLAY,Adult ICU Census,37
CLAY,Available Adult ICU,5
CLAY,Available Adult ICU%,0.119047619
CLAY,Total AdultICU Capacity,42
CLAY,Pediatric ICU Census,1
CLAY,Available Pediatric ICU,3
CLAY,Available Pediatric ICU%,0.75
CLAY,Total PediatricICU Capacity,4
COLLIER,Adult ICU Census,53
COLLIER,Available Adult ICU,32
COLLIER,Available Adult ICU%,0.376470588
COLLIER,Total AdultICU Capacity,85
COLLIER,Pediatric ICU Census,0
