County,COVID Hospitalizations
ALACHUA,136
BAKER,22
BAY,77
BRADFORD,0
BREVARD,115
BROWARD,"1,160"
CALHOUN,0
CHARLOTTE,51
CITRUS,21
CLAY,67
COLLIER,138
COLUMBIA,29
DESOTO,5
DUVAL,447
ESCAMBIA,186
FLAGLER,18
FRANKLIN,0
GADSDEN,61
GULF,4
HARDEE,0
HENDRY,7
HERNANDO,59
HIGHLANDS,53
HILLSBOROUGH,418
HOLMES,1
INDIAN RIVER,26
JACKSON,17
LAKE,93
LEE,207
LEON,80
MADISON,0
MANATEE,110
MARION,110
MARTIN,26
MIAMI-DADE,"1,746"
MONROE,11
NASSAU,2
OKALOOSA,50
OKEECHOBEE,10
ORANGE,459
OSCEOLA,146
PALM BEACH,512
PASCO,94
PINELLAS,335
POLK,293
PUTNAM,14
SANTA ROSA,28
SARASOTA,116
SEMINOLE,118
ST. JOHNS,27
ST. LUCIE,154
SUMTER,34
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,136
WALTON,12
WASHINGTON,7
All,"8,048"
